,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 22.38
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 25.75
2,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 26.63
3,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 19.13
4,Mã ngành: 7310202,Tên ngành: Xây dựng Đảng và Chính quyền Nhà nước,Tổ hợp môn:,NV1: 23.50
5,Mã ngành: 7310202,Tên ngành: Xây dựng Đảng và Chính quyền Nhà nước,Tổ hợp môn:,NV1: 17.50
6,Mã ngành: 7310202,Tên ngành: Xây dựng Đảng và Chính quyền Nhà nước,Tổ hợp môn:,NV1: 25.50
7,Mã ngành: 7310202,Tên ngành: Xây dựng Đảng và Chính quyền Nhà nước,Tổ hợp môn:,NV1: 19.50
8,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 24.00
9,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 19.50
10,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 25.50
11,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 20.00
12,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 27.00
13,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 23.50
14,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 23.50
15,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 23.50
16,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 26.00
17,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 25.00
18,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 21.00
19,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 25.00
20,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 23.00
21,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 27.50
22,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 25.00
23,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 25.50
24,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 20.00
25,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 27.00
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
