,0,1,2,3
0,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 23.50
1,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 25.00
2,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 19.50
3,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 24.00
4,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 20.50
5,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 24.50
6,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 22.50
7,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 24.00
8,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 20.50
9,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 24.50
10,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 22.50
11,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 23.50
12,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 25.00
13,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 19.50
