,0,1,2,3
0,Mã ngành: 100,"Tên ngành: Cơ khí chế tạo, cơ khí động lực hoc, cơ điện tử, kỹ thuật hàng không, kỹ thuật tàu thủy,",Tổ hợp môn:,NV1: 18.00
1,Mã ngành: 120,Tên ngành: Kỹ thuật nhiệt lạnh,Tổ hợp môn:,NV1: 18.00
2,Mã ngành: 200,"Tên ngành: Điện, điều khiển và tự động hóa,",Tổ hợp môn:,NV1: 21.00
3,Mã ngành: 210,"Tên ngành: điện tử viễn thông , kỹ thuật y sinh,",Tổ hợp môn:,NV1: 21.00
4,Mã ngành: 220,"Tên ngành: công nghệ thông tin,",Tổ hợp môn:,NV1: 21.00
5,Mã ngành: 230,Tên ngành: toán tin ứng dụng,Tổ hợp môn:,NV1: 21.00
6,Mã ngành: 300,"Tên ngành: Kỹ thuật hóa học, Hoá học, Kỹ thuật in, Kỹ thuật thực phẩm",Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 320,"Tên ngành: Kỹ thuật môi trường,",Tổ hợp môn:,NV1: 17.00
8,Mã ngành: 330,"Tên ngành: Kỹ thuật sinh học,",Tổ hợp môn:,NV1: 17.00
9,Mã ngành: 340,"Tên ngành: Kỹ thuật Dệt-May,",Tổ hợp môn:,NV1: 16.00
10,Mã ngành: 350,"Tên ngành: Kỹ thuật vật liệu,",Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 360,Tên ngành: Sư phạm kỹ thuật,Tổ hợp môn:,NV1: 16.00
12,Mã ngành: 400,"Tên ngành: Vật lý kỹ thuật, Kỹ thuật hạt nhân",Tổ hợp môn:,NV1: 17.00
13,Mã ngành: 500,Tên ngành: Khối Kinh tế-Quản lý.,Tổ hợp môn:,NV1: 17.00
14,Mã ngành: 500,Tên ngành: Khối Kinh tế-Quản lý,Tổ hợp môn:,NV1: 17.00
15,Mã ngành: 600,Tên ngành: Cử nhân Tiếng Anh KHKT và Công nghệ,Tổ hợp môn:,NV1: 24.00
16,Mã ngành: 800,Tên ngành: Khối Cao đẳng kỹ thuật (khối A),Tổ hợp môn:,NV1: 10.00
17,,,,
18,,,,
