,0,1,2,3
0,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 9,Tổ hợp môn: A01,NV1: 18.50
1,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 7,Tổ hợp môn: A01,NV1: 22.50
2,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 5,Tổ hợp môn: A01,NV1: 22.75
3,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam miền Bắc,Tổ hợp môn: A01,NV1: 24.25
4,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 9,Tổ hợp môn: C00,NV1: 25.75
5,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 7,Tổ hợp môn: C00,NV1: 25.50
6,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 5,Tổ hợp môn: C00,NV1: 26.50
7,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam Quân khu 4 (Quảng Trị và TT-Huế),Tổ hợp môn: C00,NV1: 27.00
8,Mã ngành: 7380101,Tên ngành: Luật Thí sinh Nam miền Bắc,Tổ hợp môn: C00,NV1: 28.25
9,Mã ngành: 7860206,Tên ngành: Biên phòng,Tổ hợp môn: A01,NV1: 19.00
10,Mã ngành: 7860206,Tên ngành: Biên phòng,Tổ hợp môn: A01,NV1: 23.25
11,Mã ngành: 7860206,Tên ngành: Biên phòng (Quân khu 4),Tổ hợp môn: A01,NV1: 23.00
12,Mã ngành: 7860206,Tên ngành: Biên phòng (Quân khu 5),Tổ hợp môn: A01,NV1: 24.50
13,Mã ngành: 7860206,Tên ngành: Biên phòng (Quân khu 5),Tổ hợp môn: C00,NV1: 26.50
14,Mã ngành: 7860206,Tên ngành: Biên phòng (Quân khu 7),Tổ hợp môn: C00,NV1: 25.75
15,Mã ngành: 7860206,Tên ngành: Biên phòng (Quân khu 7),Tổ hợp môn: C00,NV1: 26.75
16,Mã ngành: 7860206,Tên ngành: Biên phòng (Quân khu 9),Tổ hợp môn: C00,NV1: 27.25
17,Mã ngành: 7860206,Tên ngành: Biên phòng,Tổ hợp môn: C00,NV1: 28.50
18,,,,
19,,,,
20,,,,
