,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 30.00
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 23.00
2,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 25.00
3,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 26.00
4,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 25.00
5,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 27.50
6,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 19.50
7,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 22.50
8,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 21.00
9,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 26.50
10,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 21.00
11,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 26.50
12,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 25.00
13,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 26.00
14,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 25.00
15,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 21.00
16,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 26.50
17,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 25.00
18,Mã ngành: 7860108,Tên ngành: Kỹ thuật hình sự,Tổ hợp môn:,NV1: 25.00
19,Mã ngành: 7860108,Tên ngành: Kỹ thuật hình sự,Tổ hợp môn:,NV1: 26.00
20,Mã ngành: 7860108,Tên ngành: Kỹ thuật hình sự,Tổ hợp môn:,NV1: 25.00
21,Mã ngành: 7860108,Tên ngành: Kỹ thuật hình sự,Tổ hợp môn:,NV1: 27.50
22,Mã ngành: 7860108,Tên ngành: Kỹ thuật hình sự,Tổ hợp môn:,NV1: 19.50
