,0,1,2,3
0,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 21.50
1,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 21.00
2,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 24.00
3,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 22.00
4,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 26.00
5,Mã ngành: 7860102,Tên ngành: Điều tra trinh sát,Tổ hợp môn:,NV1: 24.00
6,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 22.00
7,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 26.00
8,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 24.00
9,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 21.50
10,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 21.00
11,Mã ngành: 7860104,Tên ngành: Điều tra hình sự,Tổ hợp môn:,NV1: 24.00
