,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D07, D11, D14",NV1: 15.00
1,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga,"Tổ hợp môn: D01, D07, D11, D14",NV1: 15.00
2,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: D01, D07, D11, D15",NV1: 15.00
3,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A00, D01, D11, D14",NV1: 15.00
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D07",NV1: 15.00
5,Mã ngành: 7340116,Tên ngành: Bất động sản,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
6,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,"Tổ hợp môn: A00, A01, D01, D07",NV1: 15.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D07",NV1: 15.00
8,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
9,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,"Tổ hợp môn: A00, A01, D01, D07",NV1: 15.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D01, D07",NV1: 14.00
11,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00, A01, D01, D07",NV1: 15.00
12,Mã ngành: 7510605,Tên ngành: Logistics và quản lý chuỗi cung ứng,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
13,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
