,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
1,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
2,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, C00, D01",NV1: 15.00
3,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, B00, C01, D01",NV1: 15.00
4,Mã ngành: 7510202,Tên ngành: Công nghệ chế tạo máy,"Tổ hợp môn: A00, B00, C01, D01",NV1: 15.00
5,Mã ngành: 7510206,Tên ngành: Công nghệ kỹ thuật nhiệt,"Tổ hợp môn: A00, B00, C01, D01",NV1: 15.00
6,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00, B00, C01, D01",NV1: 15.00
7,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00, B00, C01, D01",NV1: 15.00
8,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,"Tổ hợp môn: A00, A01, A02, B00, C01, D08, D13, D07, C08",NV1: 15.00
9,Mã ngành: 7580201,Tên ngành: Kỹ thuật xây dựng,"Tổ hợp môn: A00, B00, C01, D01",NV1: 15.00
10,Mã ngành: 7720201,Tên ngành: Dược học,"Tổ hợp môn: A00, A01, A02, B00",NV1: 20.00
11,Mã ngành: 7720301,Tên ngành: Điều dưỡng,"Tổ hợp môn: A00, A01, A02, B00, D07, B03, B08",NV1: 18.00
