,0,1,2,3
0,Mã ngành: 7310201,Tên ngành: Chính trị học,"Tổ hợp môn: A00, C00, C03, C04",NV1: 13.00
1,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A00, C00, C03, C04",NV1: 13.00
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A04, C03, D01",NV1: 13.00
3,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,"Tổ hợp môn: A00, A04, C03, D01",NV1: 13.00
4,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A04, C03, D01",NV1: 13.00
5,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00, B00, B02, C03",NV1: 13.00
6,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, C03, D01, D90",NV1: 13.00
7,Mã ngành: 7510103,Tên ngành: Công nghệ kỹ thuật xây dựng,"Tổ hợp môn: A00, A04, A05, D01",NV1: 13.00
8,Mã ngành: 7640101,Tên ngành: Thú y,"Tổ hợp môn: A00, A04, B00, B02",NV1: 13.00
9,Mã ngành: 7720115,Tên ngành: Y học cổ truyền,"Tổ hợp môn: A00, A05, B00, B02",NV1: 20.00
10,Mã ngành: 7720201,Tên ngành: Dược học,"Tổ hợp môn: A00, A05, B00, B02",NV1: 20.00
11,Mã ngành: 7720301,Tên ngành: Điều dưỡng,"Tổ hợp môn: A00, A05, B00, B02",NV1: 18.00
12,Mã ngành: 7720401,Tên ngành: Dinh dưỡng,"Tổ hợp môn: A00, A05, B00, B02",NV1: 18.00
13,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00, A04, C03, D01",NV1: 13.00
