,0,1,2,3
0,Mã ngành: C340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn:,NV1: 10.00
1,Mã ngành: C420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 11.00
2,Mã ngành: C420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 10.00
3,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 11.00
4,Mã ngành: C510101,Tên ngành: Công nghệ kỹ thuật kiến trúc,Tổ hợp môn:,NV1: 10.00
5,Mã ngành: C510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 10.00
6,Mã ngành: C510103,Tên ngành: Công nghệ kỹ thuật xây dựng,Tổ hợp môn:,NV1: 10.00
7,Mã ngành: C510104,Tên ngành: Công nghệ kỹ thuật giao thông,Tổ hợp môn:,NV1: 10.00
8,Mã ngành: C510201,Tên ngành: Công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 10.50
9,Mã ngành: C510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 10.00
10,Mã ngành: C510205,Tên ngành: Công nghệ kỹ thuật ô tô,Tổ hợp môn:,NV1: 11.50
11,Mã ngành: C510206,Tên ngành: Công nghệ kỹ thuật nhiệt,Tổ hợp môn:,NV1: 10.00
12,Mã ngành: C510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 10.50
13,Mã ngành: C510302,Tên ngành: Công nghệ kỹ thuật điện tử - truyền thông,Tổ hợp môn:,NV1: 10.00
14,Mã ngành: C510401,Tên ngành: Công nghệ kỹ thuật hoá học,Tổ hợp môn:,NV1: 11.00
15,Mã ngành: C510401,Tên ngành: Công nghệ kỹ thuật hoá học,Tổ hợp môn:,NV1: 10.00
16,Mã ngành: C510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 11.00
17,Mã ngành: C510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 10.00
18,Mã ngành: C540102,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 11.00
19,Mã ngành: C540102,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 10.00
20,Mã ngành: C580302,Tên ngành: Quản lý xây dựng,Tổ hợp môn:,NV1: 10.00
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
