,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
1,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,C00,D01,D14",NV1: 15.50
2,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: A01,C00,D01,D14",NV1: 15.50
3,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
4,Mã ngành: 7310206,Tên ngành: Quan hệ quốc tế,"Tổ hợp môn: C00,C04,C09,D01",NV1: 15.50
5,Mã ngành: 7320201,Tên ngành: Thông tin học,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
7,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
8,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
9,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
10,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,A02,C08,D08",NV1: 15.50
11,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,A10,C01",NV1: 15.50
12,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
13,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00,A01,A06,B00",NV1: 15.50
14,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
15,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: H00,H01,V00,V01",NV1: 15.50
16,Mã ngành: 7580208,Tên ngành: Kỹ thuật xây dựng,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
17,Mã ngành: 7640101,Tên ngành: Thú y,"Tổ hợp môn: A00,A01,B00,D01",NV1: 15.50
18,Mã ngành: 7720501,Tên ngành: Điều dưỡng,"Tổ hợp môn: A00,A01,B00,C00",NV1: 15.50
19,,,,
20,,,,
21,,,,
22,,,,
