,0,1,2,3
0,Mã ngành: 7140231,Tên ngành: Sư phạm tiếng Anh*,Tổ hợp môn:,NV1: 30.00
1,Mã ngành: 7140233,Tên ngành: Sư phạm tiếng Pháp*,Tổ hợp môn:,NV1: 25.00
2,Mã ngành: 7140234,Tên ngành: Sư phạm tiếng Trung Quốc*,Tổ hợp môn:,NV1: 26.17
3,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh*,Tổ hợp môn:,NV1: 27.25
4,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga*,Tổ hợp môn:,NV1: 25.17
5,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga*,Tổ hợp môn:,NV1: 24.50
6,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp*,Tổ hợp môn:,NV1: 25.50
7,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc*,Tổ hợp môn:,NV1: 26.58
8,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật*,Tổ hợp môn:,NV1: 29.58
9,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc*,Tổ hợp môn:,NV1: 27.33
10,Mã ngành: 7220212,Tên ngành: Quốc tế học*,Tổ hợp môn:,NV1: 25.83
11,Mã ngành: 7220213,Tên ngành: Đông phương học*,Tổ hợp môn:,NV1: 25.33
