,0,1,2,3
0,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 19.50
1,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 23.00
2,Mã ngành: 7480201CLC,Tên ngành: Công nghệ thông tin (CLC - ngoại ngữ Nhật),Tổ hợp môn:,NV1: 20.60
3,Mã ngành: 7480201DT,Tên ngành: Công nghệ thông tin (đào tạo theo cơ chế đặc thù),Tổ hợp môn:,NV1: 20.00
4,Mã ngành: 7510105,Tên ngành: Công nghệ kỹ thuật vật liệu xây dựng,Tổ hợp môn:,NV1: 16.50
5,Mã ngành: 7510202,Tên ngành: Công nghệ chế tạo máy,Tổ hợp môn:,NV1: 19.00
6,Mã ngành: 7510601,Tên ngành: Quản lý công nghiệp,Tổ hợp môn:,NV1: 18.50
7,Mã ngành: 7510701CLC,Tên ngành: Công nghệ dầu khí và khai thác dầu,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí (Chuyên ngành Động lực),Tổ hợp môn:,NV1: 19.75
9,Mã ngành: 7520103CLC,Tên ngành: Kỹ thuật cơ khí - chuyên ngành Cơ khí động lực (CLC),Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 7520114,Tên ngành: Kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 20.75
11,Mã ngành: 7520114CLC,Tên ngành: Kỹ thuật cơ điện tử (Chất lượng cao),Tổ hợp môn:,NV1: 15.50
12,Mã ngành: 7520115,Tên ngành: Kỹ thuật năng lượng và môi trường,Tổ hợp môn:,NV1: 18.50
13,Mã ngành: 7520115,Tên ngành: Kỹ thuật năng lượng và môi trường,Tổ hợp môn:,NV1: 19.50
14,Mã ngành: 7520115CLC,Tên ngành: Kỹ thuật nhiệt (CLC),Tổ hợp môn:,NV1: 15.05
15,Mã ngành: 7520115CLC,Tên ngành: Kỹ thuật nhiệt (CLC),Tổ hợp môn:,NV1: 15.05
16,Mã ngành: 7520122,Tên ngành: Kỹ thuật tàu thủy,Tổ hợp môn:,NV1: 15.30
17,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 19.25
18,Mã ngành: 7520207CLC,Tên ngành: Kỹ thuật điện tử & viễn thông (CLC),Tổ hợp môn:,NV1: 15.50
19,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 21.50
20,Mã ngành: 7520216CLC,Tên ngành: Kỹ thuật điều khiển và tự động hóa (Chất lượng cao),Tổ hợp môn:,NV1: 17.75
21,Mã ngành: 7520301,Tên ngành: Kỹ thuật hóa học,Tổ hợp môn:,NV1: 17.00
22,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 16.00
23,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 19.75
24,Mã ngành: 7540101CLC,Tên ngành: Công nghệ thực phẩm (Chất lượng cao),Tổ hợp môn:,NV1: 16.00
25,Mã ngành: 7580101CLC,Tên ngành: Kiến trúc (CLC),Tổ hợp môn:,NV1: 18.25
26,Mã ngành: 7580201A,Tên ngành: KT xây dựng – c.ngành XD dân dụng & công nghiệp,Tổ hợp môn:,NV1: 19.00
27,Mã ngành: 7580201B,Tên ngành: Kỹ thuật xây dựng - chuyên ngành Tin học xây dựng,Tổ hợp môn:,NV1: 15.10
28,Mã ngành: 7580201CLC,Tên ngành: KT xây dựng – c.ngành XD dân dụng & công nghiệp (CLC),Tổ hợp môn:,NV1: 15.05
29,Mã ngành: 7580202,Tên ngành: Kỹ thuật công trình thủy,Tổ hợp môn:,NV1: 15.05
30,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 16.50
31,Mã ngành: 7580205CLC,Tên ngành: Kỹ thuật xây dựng công trình giao thông (Chất lượng cao),Tổ hợp môn:,NV1: 23.00
32,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,Tổ hợp môn:,NV1: 18.75
33,Mã ngành: 7580301CLC,Tên ngành: Kinh tế xây dựng (CLC),Tổ hợp môn:,NV1: 15.05
34,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 15.50
35,Mã ngành: 7905206,Tên ngành: Chương trình đào tạo kỹ sư tiên tiến Việt-Mỹ ngành Điện tử viễn thông*,Tổ hợp môn:,NV1: 15.30
36,Mã ngành: 7905216,Tên ngành: Chương trình đào tạo kỹ sư tiên tiến ngành Hệ thống nhúng*,Tổ hợp môn:,NV1: 15.04
37,Mã ngành: PFIEV,Tên ngành: Chương trình đào tạo kỹ sư chất lượng cao Việt-Pháp*,Tổ hợp môn:,NV1: 15.23
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
