,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị du lịch khách sạn,Tổ hợp môn:,NV1: 18.50
1,Mã ngành: 7340101,Tên ngành: Quản trị du lịch khách sạn,Tổ hợp môn:,NV1: 19.00
2,Mã ngành: 7340101,Tên ngành: Quản trị doanh nghiệp,Tổ hợp môn:,NV1: 18.50
3,Mã ngành: 7340101,Tên ngành: Quản trị doanh nghiệp,Tổ hợp môn:,NV1: 19.00
4,Mã ngành: 7340201,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 18.50
5,Mã ngành: 7340201,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 19.00
6,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 18.50
7,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 19.00
8,Mã ngành: 7480201,Tên ngành: Thương mại điện tử,Tổ hợp môn:,NV1: 18.50
9,Mã ngành: 7480201,Tên ngành: Thương mại điện tử,Tổ hợp môn:,NV1: 19.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ phần mềm,Tổ hợp môn:,NV1: 18.50
11,Mã ngành: 7480201,Tên ngành: Công nghệ phần mềm,Tổ hợp môn:,NV1: 19.00
12,Mã ngành: 7510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 18.50
13,Mã ngành: 7510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 19.00
14,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 18.50
15,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 19.00
16,Mã ngành: 7510301,Tên ngành: Điện hạt nhân,Tổ hợp môn:,NV1: 18.50
17,Mã ngành: 7510301,Tên ngành: Điện hạt nhân,Tổ hợp môn:,NV1: 19.00
18,Mã ngành: 7510301,Tên ngành: Xây dựng công trình điện,Tổ hợp môn:,NV1: 18.50
19,Mã ngành: 7510301,Tên ngành: Hệ thống điện,Tổ hợp môn:,NV1: 21.00
20,Mã ngành: 7510301,Tên ngành: Xây dựng công trình điện,Tổ hợp môn:,NV1: 19.00
21,Mã ngành: 7510301,Tên ngành: Điện lạnh,Tổ hợp môn:,NV1: 18.50
22,Mã ngành: 7510301,Tên ngành: Điện lạnh,Tổ hợp môn:,NV1: 19.00
23,Mã ngành: 7510301,Tên ngành: Nhiệt điện,Tổ hợp môn:,NV1: 18.50
24,Mã ngành: 7510301,Tên ngành: Nhiệt điện,Tổ hợp môn:,NV1: 19.00
25,Mã ngành: 7510301,Tên ngành: Điện công nghiệp và dân dụng,Tổ hợp môn:,NV1: 19.50
26,Mã ngành: 7510301,Tên ngành: Điện công nghiệp và dân dụng,Tổ hợp môn:,NV1: 20.00
27,Mã ngành: 7510301,Tên ngành: Hệ thống điện,Tổ hợp môn:,NV1: 20.50
28,Mã ngành: 7510302,Tên ngành: Kỹ thuật điện tử,Tổ hợp môn:,NV1: 18.50
29,Mã ngành: 7510302,Tên ngành: Kỹ thuật điện tử,Tổ hợp môn:,NV1: 19.00
30,Mã ngành: 7510302,Tên ngành: Điện tử viễn thông,Tổ hợp môn:,NV1: 18.50
31,Mã ngành: 7510302,Tên ngành: Điện tử viễn thông,Tổ hợp môn:,NV1: 19.00
32,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 19.00
33,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 19.50
34,Mã ngành: 7510601,Tên ngành: Quản lý môi trường công nghiệp và đô thị,Tổ hợp môn:,NV1: 18.50
35,Mã ngành: 7510601,Tên ngành: Quản lý môi trường công nghiệp và đô thị,Tổ hợp môn:,NV1: 19.00
36,Mã ngành: 7510601,Tên ngành: Quản lý năng lượng,Tổ hợp môn:,NV1: 19.00
37,Mã ngành: 7510601,Tên ngành: Quản lý năng lượng,Tổ hợp môn:,NV1: 19.50
38,Mã ngành: C340101,Tên ngành: Quản trị doanh nghiệp,Tổ hợp môn:,NV1: 10.00
39,Mã ngành: C340101,Tên ngành: Quản trị du lịch khách sạn ((Lớp đặt ở Vinh),Tổ hợp môn:,NV1: 10.00
40,Mã ngành: C340101,Tên ngành: Quản trị du lịch khách sạn,Tổ hợp môn:,NV1: 10.00
41,Mã ngành: C340201,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 10.00
42,Mã ngành: C340301,Tên ngành: Kế toán (Lớp đặt ở Vinh),Tổ hợp môn:,NV1: 10.00
43,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
44,Mã ngành: C480201,Tên ngành: Công nghệ phần mềm,Tổ hợp môn:,NV1: 10.00
45,Mã ngành: C510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 10.00
46,Mã ngành: C510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử,Tổ hợp môn:,NV1: 10.00
47,Mã ngành: C510301,Tên ngành: Thủy điện,Tổ hợp môn:,NV1: 10.00
48,Mã ngành: C510301,Tên ngành: Xây dựng công trình điện,Tổ hợp môn:,NV1: 10.00
49,Mã ngành: C510301,Tên ngành: Xây dựng công trình điện,Tổ hợp môn:,NV1: 10.00
50,Mã ngành: C510301,Tên ngành: Điện lạnh,Tổ hợp môn:,NV1: 10.00
51,Mã ngành: C510301,Tên ngành: Nhiệt điện,Tổ hợp môn:,NV1: 10.00
52,Mã ngành: C510301,Tên ngành: Điện công nghiệp và dân dụng (Lớp đặt ở Vinh),Tổ hợp môn:,NV1: 10.00
53,Mã ngành: C510301,Tên ngành: Điện công nghiệp và dân dụng,Tổ hợp môn:,NV1: 10.00
54,Mã ngành: C510301,Tên ngành: Hệ thống điện (Lớp đặt ở Vinh),Tổ hợp môn:,NV1: 10.00
55,Mã ngành: C510301,Tên ngành: Hệ thống điện,Tổ hợp môn:,NV1: 10.00
56,Mã ngành: C510302,Tên ngành: Công nghệ kĩ thuật điện tử truyền thông (Điện tử viễn thông),Tổ hợp môn:,NV1: 10.00
57,Mã ngành: C510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 10.00
58,Mã ngành: C510601,Tên ngành: Quản lý môi trường công nghiệp và đô thị,Tổ hợp môn:,NV1: 10.00
59,Mã ngành: C510601,Tên ngành: Quản lý năng lượng,Tổ hợp môn:,NV1: 10.00
