,0,1,2,3
0,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7510102,Tên ngành: Công nghệ kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7510303,Tên ngành: Công nghệ kĩ thuật điều khiển và tự động hoá,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7520503,Tên ngành: Kĩ thuật trắc địa - bản đồ,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7520601,Tên ngành: Kĩ thuật mỏ,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7520607,Tên ngành: Kĩ thuật tuyển khoáng,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
10,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
11,Mã ngành: C480202,Tên ngành: Tin học ứng dụng,Tổ hợp môn:,NV1: 10.00
12,Mã ngành: C510102,Tên ngành: Công nghệ kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 10.00
13,Mã ngành: C510205,Tên ngành: Công nghệ kĩ thuật ô tô,Tổ hợp môn:,NV1: 10.00
14,Mã ngành: C510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 10.00
15,Mã ngành: C510303,Tên ngành: Công nghệ kĩ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 10.00
16,Mã ngành: C511001,Tên ngành: Công nghệ kĩ thuật mỏ,Tổ hợp môn:,NV1: 10.00
17,Mã ngành: C511002,Tên ngành: Công nghệ tuyển khoáng,Tổ hợp môn:,NV1: 10.00
18,Mã ngành: C515901,Tên ngành: Công nghệ kĩ thuật địa chất,Tổ hợp môn:,NV1: 10.00
19,Mã ngành: C515902,Tên ngành: Công nghệ kĩ thuật trắc địa,Tổ hợp môn:,NV1: 10.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
