,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D09, D11, D14",NV1: 15.00
1,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: D01, D09, D65, D71",NV1: 15.00
2,Mã ngành: 7320108,Tên ngành: Quan hệ công chúng,"Tổ hợp môn: C00, C19, D01, D15",NV1: 15.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, C03, D01, D10",NV1: 15.00
4,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,"Tổ hợp môn: A01, A10, C14, D01",NV1: 15.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A08, A10, C14, D01",NV1: 15.00
6,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A08, A09, C00, C19",NV1: 14.10
7,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A10, D84, K01",NV1: 15.00
8,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: H06, H08, V00, V01",NV1: 15.00
9,Mã ngành: 7580201,Tên ngành: Kỹ thuật xây dựng,"Tổ hợp môn: A00, A01, A10, A11",NV1: 15.00
10,Mã ngành: 7720201,Tên ngành: Dược học,"Tổ hợp môn: A00, A11, B00, D07",NV1: 20.00
11,Mã ngành: 7720301,Tên ngành: Điều dưỡng,"Tổ hợp môn: B00, C14, D07, D66",NV1: 18.00
12,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A07, A08, C00, D01",NV1: 14.10
