,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh tổng quát,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
2,Mã ngành: 7340201,Tên ngành: Ngân hàng,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7340201,Tên ngành: Ngân hàng,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
7,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.50
10,Mã ngành: C340301,Tên ngành: Kế toán doanh nghiệp,Tổ hợp môn:,NV1: 10.00
11,Mã ngành: C340301,Tên ngành: Kế toán doanh nghiệp,Tổ hợp môn:,NV1: 10.50
12,Mã ngành: C510102,Tên ngành: CN Kỹ thuật Công trình xây dựng,Tổ hợp môn:,NV1: 10.00
