,0,1,2,3
0,Mã ngành: 401,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 16.50
1,Mã ngành: 402,Tên ngành: Ngành Quản trị kinh doanh tổng quỏt,Tổ hợp môn:,NV1: 16.00
2,Mã ngành: 403,Tên ngành: Quản trị kinh doanh du lịch và dịch vụ,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 404,Tên ngành: Quản trị kinh doanh thương mại,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 405,Tên ngành: Quản trị kinh doanh quốc tế,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 406,Tên ngành: Quản trị kinh doanh Marketing,Tổ hợp môn:,NV1: 16.50
6,Mã ngành: 406,Tên ngành: Quản trị Marketing,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 407,Tên ngành: Kinh tế phỏt triển,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 407,Tên ngành: Kinh tế phát triển,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 408,Tên ngành: Kinh tế lao động,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 409,Tên ngành: Kinh tế và quản lý cụng,Tổ hợp môn:,NV1: 16.00
11,Mã ngành: 410,Tên ngành: Ngành kinh tế chớnh trị,Tổ hợp môn:,NV1: 14.00
12,Mã ngành: 411,Tên ngành: ngành thống kờ tin học,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 412,Tên ngành: Ngân hàng,Tổ hợp môn:,NV1: 15.00
14,Mã ngành: 412,Tên ngành: Ngành ngõn hàng,Tổ hợp môn:,NV1: 16.50
15,Mã ngành: 414,Tên ngành: Ngành tin học quản lý,Tổ hợp môn:,NV1: 16.00
16,Mã ngành: 415,Tên ngành: Tài chính doanh nghiệp,Tổ hợp môn:,NV1: 18.50
17,Mã ngành: 415,Tên ngành: Tài chớnh doanh nghiệp,Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 416,Tên ngành: Quản trị tài chớnh,Tổ hợp môn:,NV1: 13.00
19,Mã ngành: 416,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 14.00
20,Mã ngành: 417,Tên ngành: Quản trị nhõn lực,Tổ hợp môn:,NV1: 13.00
21,Mã ngành: 417,Tên ngành: Quản trị Kinh doanh tổng quát,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: 418,Tên ngành: Kiểm toán,Tổ hợp môn:,NV1: 14.00
23,Mã ngành: 418,Tên ngành: Kiểm toán,Tổ hợp môn:,NV1: 13.00
24,Mã ngành: 501,Tên ngành: Ngành luật học,Tổ hợp môn:,NV1: 14.00
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
