,0,1,2,3
0,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc,Tổ hợp môn:,NV1: 22.67
1,Mã ngành: 7229010,Tên ngành: Lịch sử (chuyên ngành Quan hệ quốc tế),Tổ hợp môn:,NV1: 19.10
2,Mã ngành: 7229030,Tên ngành: Văn học,Tổ hợp môn:,NV1: 18.90
3,Mã ngành: 7229040,Tên ngành: Văn hoá học,Tổ hợp môn:,NV1: 18.60
4,Mã ngành: 7310401,Tên ngành: Tâm lý học,Tổ hợp môn:,NV1: 17.45
5,Mã ngành: 7310501,Tên ngành: Địa lý học (Chuyên ngành: Địa lý du lịch),Tổ hợp môn:,NV1: 18.90
6,Mã ngành: 7320101,Tên ngành: Báo chí,Tổ hợp môn:,NV1: 19.25
7,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,Tổ hợp môn:,NV1: 18.70
8,Mã ngành: 7440102,Tên ngành: Vật lý học (Chuyên ngành Điện tử-Công nghệ Viễn thông),Tổ hợp môn:,NV1: 19.20
9,Mã ngành: 7440112,Tên ngành: Hóa học,Tổ hợp môn:,NV1: 18.00
10,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,Tổ hợp môn:,NV1: 19.90
11,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 18.85
12,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 17.60
13,Mã ngành: 7480201DT,Tên ngành: Công nghệ thông tin (đặc thù),Tổ hợp môn:,NV1: 18.60
14,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 16.90
15,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 17.85
16,,,,
