,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Văn hóa Du lịch,Tổ hợp môn:,NV1: 17.50
1,Mã ngành: 7220201,Tên ngành: Tiếng Anh Du lịch,Tổ hợp môn:,NV1: 17.50
2,Mã ngành: 7220201,Tên ngành: Tiếng Anh Biên - Phiên dịch,Tổ hợp môn:,NV1: 17.50
3,Mã ngành: 7220330,Tên ngành: Văn - Báo chí,Tổ hợp môn:,NV1: 17.50
4,Mã ngành: 7310206,Tên ngành: Quan hệ Quốc tế,Tổ hợp môn:,NV1: 17.50
5,Mã ngành: 7340101,Tên ngành: Quản trị Marketing,Tổ hợp môn:,NV1: 17.50
6,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh Tổng hợp,Tổ hợp môn:,NV1: 17.50
7,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh chuẩn PSU,Tổ hợp môn:,NV1: 17.50
8,Mã ngành: 7340103,Tên ngành: Quản trị Du lịch & Nhà hàng chuẩn PSU,Tổ hợp môn:,NV1: 17.50
9,Mã ngành: 7340103,Tên ngành: Quản trị Du lịch & Khách sạn chuẩn PSU,Tổ hợp môn:,NV1: 17.50
10,Mã ngành: 7340103,Tên ngành: Quản trị Du lịch & Lữ hành,Tổ hợp môn:,NV1: 17.50
11,Mã ngành: 7340103,Tên ngành: Quản trị Du lịch & Khách sạn,Tổ hợp môn:,NV1: 17.50
12,Mã ngành: 7340201,Tên ngành: Tài chính & Ngân hàng chuẩn PSU,Tổ hợp môn:,NV1: 17.50
13,Mã ngành: 7340201,Tên ngành: Ngân hàng,Tổ hợp môn:,NV1: 17.50
14,Mã ngành: 7340201,Tên ngành: Tài chính Doanh nghiệp,Tổ hợp môn:,NV1: 17.50
15,Mã ngành: 7340301,Tên ngành: Kế toán (& Kiểm toán) chuẩn PSU,Tổ hợp môn:,NV1: 17.50
16,Mã ngành: 7340301,Tên ngành: Kế toán Doanh nghiệp,Tổ hợp môn:,NV1: 17.50
17,Mã ngành: 7340301,Tên ngành: Kế toán Kiểm toán,Tổ hợp môn:,NV1: 17.50
18,Mã ngành: 7340405,Tên ngành: Hệ thống Thông tin Quản lý chuẩn CMU,Tổ hợp môn:,NV1: 17.50
19,Mã ngành: 7340405,Tên ngành: Hệ thống Thông tin Quản lý,Tổ hợp môn:,NV1: 17.50
20,Mã ngành: 7480103,Tên ngành: Công nghệ Phần mềm,Tổ hợp môn:,NV1: 17.50
21,Mã ngành: 7480103,Tên ngành: Kỹ thuật Mạng máy tính,Tổ hợp môn:,NV1: 17.50
22,Mã ngành: 7480103,Tên ngành: Thiết kế Đồ họa/Game/Multimedia,Tổ hợp môn:,NV1: 17.50
23,Mã ngành: 7480103,Tên ngành: Công nghệ Phần mềm chuẩn CMU,Tổ hợp môn:,NV1: 17.50
24,Mã ngành: 7480103,Tên ngành: An ninh Mạng chuẩn CMU,Tổ hợp môn:,NV1: 17.50
25,Mã ngành: 7510102,Tên ngành: Xây dựng Cầu đường,Tổ hợp môn:,NV1: 17.50
26,Mã ngành: 7510301,Tên ngành: Thiết kế Số,Tổ hợp môn:,NV1: 17.50
27,Mã ngành: 7510301,Tên ngành: Điện tử - Viễn thông,Tổ hợp môn:,NV1: 17.50
28,Mã ngành: 7510301,Tên ngành: Điện Tự động,Tổ hợp môn:,NV1: 17.50
29,Mã ngành: 7510406,Tên ngành: Công nghệ & Quản lý Môi trường,Tổ hợp môn:,NV1: 18.50
30,Mã ngành: 7510406,Tên ngành: Công nghệ & Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 18.50
31,Mã ngành: 7510406,Tên ngành: Công nghệ & Quản lý Môi trường,Tổ hợp môn:,NV1: 17.50
32,Mã ngành: 7510406,Tên ngành: Công nghệ & Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 17.50
33,Mã ngành: 7580102,Tên ngành: Kiến trúc Công trình chuẩn CSU,Tổ hợp môn:,NV1: 16.00
34,Mã ngành: 7580102,Tên ngành: Thiết kế Nội thất,Tổ hợp môn:,NV1: 16.50
35,Mã ngành: 7580102,Tên ngành: Kiến trúc Công trình,Tổ hợp môn:,NV1: 17.00
36,Mã ngành: 7580201,Tên ngành: Xây dựng Dân dụng (DD) & Công nghiệp (CN),Tổ hợp môn:,NV1: 17.50
37,Mã ngành: 7580201,"Tên ngành: Kĩ thuật công trình xây dựng (môn toán, vẽ nhân hệ số 2)",Tổ hợp môn:,NV1: 17.50
38,Mã ngành: 7720401,Tên ngành: Dược sĩ Đại học,Tổ hợp môn:,NV1: 21.50
39,Mã ngành: 7720401,Tên ngành: Dược sỹ,Tổ hợp môn:,NV1: 20.00
40,Mã ngành: 7720501,Tên ngành: Điều dưỡng Đa khoa,Tổ hợp môn:,NV1: 18.50
41,Mã ngành: 7720501,Tên ngành: Điều dưỡng Đa khoa,Tổ hợp môn:,NV1: 17.50
42,Mã ngành: C220113,Tên ngành: Văn hóa Du lịch,Tổ hợp môn:,NV1: 13.50
43,Mã ngành: C220201,Tên ngành: Anh Văn,Tổ hợp môn:,NV1: 13.50
44,Mã ngành: C340101,Tên ngành: Quản trị -Nghiệp vụ Marketing,Tổ hợp môn:,NV1: 13.50
45,Mã ngành: C340107,Tên ngành: Quản trị Khách sạn chuẩn PSU,Tổ hợp môn:,NV1: 13.50
