,0,1,2,3
0,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.00
1,Mã ngành: 7380101,Tên ngành: Luật học,Tổ hợp môn:,NV1: 17.00
2,Mã ngành: 7380101,Tên ngành: Luật học,Tổ hợp môn:,NV1: 17.00
3,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.00
4,Mã ngành: 7380101,Tên ngành: Luật học,Tổ hợp môn:,NV1: 20.00
5,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 17.50
6,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 19.50
8,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 17.50
9,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 17.00
10,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 7380107,Tên ngành: Luật kinh tế,Tổ hợp môn:,NV1: 17.00
