,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 13.50
2,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
6,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 16.00
7,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 15.00
9,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành - Học tại Huế,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ Du lịch và Lữ hành,Tổ hợp môn:,NV1: 14.00
