,0,1,2,3
0,Mã ngành: 7140231,Tên ngành: Sư phạm tiếng Anh,Tổ hợp môn:,NV1: 21.00
1,Mã ngành: 7140233,Tên ngành: Sư phạm tiếng Pháp,Tổ hợp môn:,NV1: 17.15
2,Mã ngành: 7140234,Tên ngành: Sư phạm Tiếng Trung Quốc,Tổ hợp môn:,NV1: 18.50
3,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 17.00
4,Mã ngành: 7220202,Tên ngành: Ngôn ngữ Nga,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7220203,Tên ngành: Ngôn ngữ Pháp,Tổ hợp môn:,NV1: 16.25
6,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 18.75
7,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,Tổ hợp môn:,NV1: 18.75
8,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 7310601,Tên ngành: Quốc tế học,Tổ hợp môn:,NV1: 17.25
10,Mã ngành: 7310630,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 15.00
