,0,1,2,3
0,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật cơ điện tử*,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7510210,Tên ngành: Công thôn,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7510210,Tên ngành: Công thôn,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 17.00
5,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 18.00
6,Mã ngành: 7540104,Tên ngành: Công nghệ sau thu hoạch,Tổ hợp môn:,NV1: 17.00
7,Mã ngành: 7540104,Tên ngành: Công nghệ sau thu hoạch,Tổ hợp môn:,NV1: 18.00
8,Mã ngành: 7540301,Tên ngành: Công nghệ chế biến lâm sản,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7620102,Tên ngành: Khuyến nông,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7620102,Tên ngành: Khuyến nông,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 17.00
12,Mã ngành: 7620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 16.00
13,Mã ngành: 7620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 17.00
14,Mã ngành: 7620105,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 16.00
15,Mã ngành: 7620109,Tên ngành: Nông học,Tổ hợp môn:,NV1: 13.50
16,Mã ngành: 7620109,Tên ngành: Nông học,Tổ hợp môn:,NV1: 14.50
17,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 14.50
18,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 14.50
19,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 13.50
20,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,Tổ hợp môn:,NV1: 13.50
21,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 13.50
22,Mã ngành: 7620112,Tên ngành: Bảo vệ thực vật,Tổ hợp môn:,NV1: 14.50
23,Mã ngành: 7620113,Tên ngành: Công nghệ rau hoa quả và cảnh quan,Tổ hợp môn:,NV1: 14.50
24,Mã ngành: 7620113,Tên ngành: Công nghệ rau hoa quả và cảnh quan,Tổ hợp môn:,NV1: 13.50
25,Mã ngành: 7620116,Tên ngành: Phát triển nông thôn,Tổ hợp môn:,NV1: 14.00
26,Mã ngành: 7620116,Tên ngành: Phát triển nông thôn,Tổ hợp môn:,NV1: 13.00
27,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,Tổ hợp môn:,NV1: 15.00
28,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,Tổ hợp môn:,NV1: 14.00
29,Mã ngành: 7620202,Tên ngành: Lâm nghiệp đô thị,Tổ hợp môn:,NV1: 15.00
30,Mã ngành: 7620202,Tên ngành: Lâm nghiệp đô thị,Tổ hợp môn:,NV1: 14.00
31,Mã ngành: 7620211,Tên ngành: Quản lý tài nguyên rừng,Tổ hợp môn:,NV1: 15.00
32,Mã ngành: 7620211,Tên ngành: Quản lý tài nguyên rừng,Tổ hợp môn:,NV1: 14.00
33,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 15.50
34,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 15.50
35,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 14.50
36,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 14.50
37,Mã ngành: 7620305,Tên ngành: Quản lý nguồn lợi thủy sản,Tổ hợp môn:,NV1: 14.50
38,Mã ngành: 7620305,Tên ngành: Quản lý nguồn lợi thủy sản,Tổ hợp môn:,NV1: 15.50
39,Mã ngành: 7640101,Tên ngành: Thú y,Tổ hợp môn:,NV1: 17.00
40,Mã ngành: 7640101,Tên ngành: Thú y,Tổ hợp môn:,NV1: 16.00
41,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 14.50
42,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 15.50
43,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 15.50
44,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 14.50
