,0,1,2,3
0,Mã ngành: 0,Tên ngành: Nhóm ngành mỹ thuật ứng dụng,Tổ hợp môn:,NV1: 34.00
1,Mã ngành: 7140222,Tên ngành: Sư phạm Mĩ thuật,Tổ hợp môn:,NV1: 24.00
2,Mã ngành: 7210103,Tên ngành: Hội họa,Tổ hợp môn:,NV1: 24.00
3,Mã ngành: 7210104,Tên ngành: Đồ học,Tổ hợp môn:,NV1: 23.00
4,Mã ngành: 7210105,Tên ngành: Điêu khắc,Tổ hợp môn:,NV1: 25.00
5,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa (Phân viện Quảng Trị),Tổ hợp môn:,NV1: 29.00
6,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,Tổ hợp môn:,NV1: 34.00
7,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang (Phân viện Quảng Trị),Tổ hợp môn:,NV1: 29.00
8,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,Tổ hợp môn:,NV1: 34.00
9,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất (Phân viện Quảng Trị),Tổ hợp môn:,NV1: 29.00
