,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học (Văn hoá du lịch),Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7220113,Tên ngành: Việt Nam học (Văn hoá du lịch),Tổ hợp môn:,NV1: 14.00
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (Tiếng Anh),Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (Tiếng Anh),Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340101,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 7340101,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7340101,Tên ngành: Quản trị doanh nghiệp,Tổ hợp môn:,NV1: 13.50
7,Mã ngành: 7340101,Tên ngành: Quản trị doanh nghiệp,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7340101,Tên ngành: Kế toán kiểm toán,Tổ hợp môn:,NV1: 13.50
9,Mã ngành: 7340101,Tên ngành: Kế toán kiểm toán,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7340101,Tên ngành: Tài chính ngân hàng,Tổ hợp môn:,NV1: 13.50
11,Mã ngành: 7340101,Tên ngành: Quản trị doanh nghiệp,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7510301,Tên ngành: Điện tử viễn thông,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7510301,Tên ngành: Điện công nghiệp & dân dụng,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 7510301,Tên ngành: Kỹ thuật Điện Điện tử,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 14.00
17,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 7580201,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 7580201,Tên ngành: Cấp thoát nước,Tổ hợp môn:,NV1: 13.00
20,Mã ngành: 7580201,Tên ngành: Xây dựng cầu đường,Tổ hợp môn:,NV1: 13.00
21,Mã ngành: 7580201,Tên ngành: Xây dựng dân dụng & công nghiệp,Tổ hợp môn:,NV1: 13.00
22,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: C220113,Tên ngành: Việt Nam học (Văn hoá du lịch),Tổ hợp môn:,NV1: 10.50
24,Mã ngành: C220113,Tên ngành: Việt Nam học (Văn hoá du lịch),Tổ hợp môn:,NV1: 11.00
25,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.50
26,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
27,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
28,Mã ngành: C510102,Tên ngành: Công nghệ kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C510301,Tên ngành: Công nghệ kỹ thuật Điện - Điện tử,Tổ hợp môn:,NV1: 10.00
