,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục mầm non,"Tổ hợp môn: M06, M11",NV1: 17.00
1,Mã ngành: 7140202,Tên ngành: Giáo dục tiểu học; Giáo dục tiểu học - Giáo dục hòa nhập,"Tổ hợp môn: C00, D01, D08, D10",NV1: 18.00
2,Mã ngành: 7140204,Tên ngành: Giáo dục công dân,"Tổ hợp môn: C00, C19, C20",NV1: 18.00
3,Mã ngành: 7140205,Tên ngành: Giáo dục chính trị,"Tổ hợp môn: C00, C19, C20",NV1: 18.00
4,Mã ngành: 7140208,Tên ngành: Giáo dục Quốc Phòng - An Ninh,"Tổ hợp môn: C00, C19, C20",NV1: 17.10
5,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,"Tổ hợp môn: A00, A01",NV1: 18.00
6,Mã ngành: 7140210,Tên ngành: Sư phạm Tin học,"Tổ hợp môn: A00, A01",NV1: 17.01
7,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,"Tổ hợp môn: A00, A01",NV1: 17.01
8,Mã ngành: 7140212,Tên ngành: Sư phạm hóa học,"Tổ hợp môn: A00, B00, D07",NV1: 17.01
9,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,"Tổ hợp môn: B00, D08",NV1: 17.01
10,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ Văn,"Tổ hợp môn: C00, C19, C20, D14",NV1: 18.00
11,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,"Tổ hợp môn: C00, C19, D14",NV1: 17.01
12,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lý,"Tổ hợp môn: B00, C00",NV1: 17.01
13,Mã ngành: 7140221,Tên ngành: Sư phạm Âm nhạc,"Tổ hợp môn: N00, N01",NV1: 19.01
14,Mã ngành: 7140246,Tên ngành: Sư phạm Công nghệ,"Tổ hợp môn: A00, A01, B00, D08",NV1: 17.01
15,Mã ngành: 7140247,Tên ngành: Sư phạm khoa học tự nhiên,"Tổ hợp môn: A00, A01, B00, D08",NV1: 18.00
16,Mã ngành: 7140248,Tên ngành: Giáo dục pháp luật,"Tổ hợp môn: C00, C19, C20",NV1: 18.00
17,Mã ngành: 7140249,Tên ngành: Sư phạm lịch sử - Địa lý,"Tổ hợp môn: C00, C19, C20",NV1: 17.10
18,Mã ngành: 7310403,Tên ngành: Tâm lý học giáo dục,"Tổ hợp môn: B00, C00, D01",NV1: 15.00
19,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00, A01",NV1: 14.01
20,Mã ngành: T140211,"Tên ngành: Vật lý ( giảng dạy tiếng Anh, liênKết ĐH Virginia, Hoa Kỳ)","Tổ hợp môn: A00, A01",NV1: 14.10
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
