,0,1,2,3
0,Mã ngành: 7220104,Tên ngành: Hán Nôm,"Tổ hợp môn: C00,D01,D14",NV1: 15.00
1,Mã ngành: 7220213,Tên ngành: Đông phương học,"Tổ hợp môn: C00,C19,D14,D66",NV1: 15.00
2,Mã ngành: 7220301,Tên ngành: Triết học,"Tổ hợp môn: A00,C00,C19,C20",NV1: 15.00
3,Mã ngành: 7220310,Tên ngành: Lịch sử,"Tổ hợp môn: C00,C19,D14",NV1: 15.00
4,Mã ngành: 7220320,Tên ngành: Ngôn ngữ học,"Tổ hợp môn: C00,D01,D14",NV1: 15.00
5,Mã ngành: 7220330,Tên ngành: Văn học,"Tổ hợp môn: C00,D01,D14",NV1: 15.00
6,Mã ngành: 7310301,Tên ngành: Xã hội học,"Tổ hợp môn: C00,D01,D14",NV1: 15.00
7,Mã ngành: 7320101,Tên ngành: Báo chí,"Tổ hợp môn: C00,D01,D15",NV1: 17.00
8,Mã ngành: 7420101,Tên ngành: Sinh học,"Tổ hợp môn: A00,B00,D08",NV1: 15.00
9,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,B00,D08",NV1: 17.00
10,Mã ngành: 7440102,Tên ngành: Vật lý học,"Tổ hợp môn: A00,A01",NV1: 15.00
11,Mã ngành: 7440112,Tên ngành: Hóa học,"Tổ hợp môn: A00,B00,D07",NV1: 15.00
12,Mã ngành: 7440201,Tên ngành: Địa chất học,"Tổ hợp môn: A00,B00,D07",NV1: 15.00
13,Mã ngành: 7440217,Tên ngành: Địa lý tự nhiên,"Tổ hợp môn: A00,B00,D07",NV1: 15.00
14,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00,B00,D07",NV1: 15.00
15,Mã ngành: 7460101,Tên ngành: Toán học,"Tổ hợp môn: A00,A01",NV1: 18.00
16,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,"Tổ hợp môn: A00,A01",NV1: 18.00
17,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01",NV1: 24.50
18,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,A01",NV1: 16.50
19,Mã ngành: 7520501,Tên ngành: Kỹ thuật địa chất,"Tổ hợp môn: A00,B00,D07",NV1: 15.00
20,Mã ngành: 7520503,Tên ngành: Kỹ thuật trắc địa - bản đồ,"Tổ hợp môn: A00,B00,D07",NV1: 15.00
21,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: V00,V01",NV1: 20.00
22,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: C00,D01,D14",NV1: 15.50
23,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00,B00,D07",NV1: 16.00
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
