,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D14, D15, D66",NV1: 14.00
1,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: C00, D01, D04, D15",NV1: 14.00
2,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: C00, D01, D15, D66",NV1: 14.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, C00, C04, D01",NV1: 14.00
4,Mã ngành: 7340201,Tên ngành: Tài chính ngân hàng,"Tổ hợp môn: A00, C00, C04, D01",NV1: 14.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, C03, C14, D01",NV1: 14.00
6,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, A04, A06",NV1: 14.00
7,Mã ngành: 7510103,Tên ngành: Công nghệ kỹ thuật xây dựng,"Tổ hợp môn: A00, A01, A04, A06",NV1: 20.00
8,Mã ngành: 7540104,Tên ngành: Công nghệ sau thu hoạch,"Tổ hợp môn: A00, A02, B00, C08",NV1: 22.00
9,Mã ngành: 7720802,Tên ngành: Quản lý bệnh viện,"Tổ hợp môn: B00, B03, C01, C02",NV1: 14.00
10,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, C00, D01",NV1: 14.00
