,0,1,2,3
0,Mã ngành: 7720101,Tên ngành: Y đa khoa,Tổ hợp môn:,NV1: 26.50
1,Mã ngành: 7720103,Tên ngành: Y học dự phòng,Tổ hợp môn:,NV1: 22.50
2,Mã ngành: 7720201,Tên ngành: Y học cổ truyền,Tổ hợp môn:,NV1: 24.00
3,Mã ngành: 7720301,Tên ngành: Y tế công cộng,Tổ hợp môn:,NV1: 20.75
4,Mã ngành: 7720330,Tên ngành: Kỹ thuật hình ảnh y học,Tổ hợp môn:,NV1: 22.75
5,Mã ngành: 7720330LT,Tên ngành: Kỹ thuật hình ảnh y học,Tổ hợp môn:,NV1: 22.75
6,Mã ngành: 7720332,Tên ngành: Xét nghiệm y học,Tổ hợp môn:,NV1: 22.00
7,Mã ngành: 7720332LT,Tên ngành: Xét nghiệm y học,Tổ hợp môn:,NV1: 22.00
8,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 26.00
9,Mã ngành: 7720501,Tên ngành: Điều dường,Tổ hợp môn:,NV1: 21.75
10,Mã ngành: 7720501LT,Tên ngành: Điều dưỡng,Tổ hợp môn:,NV1: 21.75
11,Mã ngành: 7720601,Tên ngành: Răng - Hàm - Mặt,Tổ hợp môn:,NV1: 25.75
