,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.00
3,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 12.00
9,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 12.00
10,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
11,Mã ngành: C340407,Tên ngành: Thư kí văn phòng,Tổ hợp môn:,NV1: 12.00
12,Mã ngành: C380201,Tên ngành: Dịch vụ pháp lý,Tổ hợp môn:,NV1: 12.00
13,Mã ngành: C480202,Tên ngành: Tin học ứng dụng,Tổ hợp môn:,NV1: 12.00
14,Mã ngành: C510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 12.00
15,Mã ngành: C510401,Tên ngành: Công nghệ kĩ thuật hoá học,Tổ hợp môn:,NV1: 12.00
16,Mã ngành: C900107,Tên ngành: Dược sĩ,Tổ hợp môn:,NV1: 12.00
17,,,,
18,,,,
