,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa,"Tổ hợp môn: H01,H02,V00,V02",NV1: 16.25
1,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang,"Tổ hợp môn: H01,H02,V00,V02",NV1: 16.50
2,Mã ngành: 7210405,Tên ngành: Thiết kế nội thất,"Tổ hợp môn: H01,H02,V00,V02",NV1: 17.00
3,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: A01,D01,D14,D15",NV1: 20.00
4,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: A01,C00,D01,D06",NV1: 18.50
5,Mã ngành: 7220213,Tên ngành: Đông phương học,"Tổ hợp môn: A01,C00,D01,D15",NV1: 17.50
6,Mã ngành: 7310401,Tên ngành: Tâm lý học,"Tổ hợp môn: A00,A01,C00,D01",NV1: 17.00
7,Mã ngành: 7320104,Tên ngành: Truyền thông đa phương tiện,"Tổ hợp môn: A01,C00,D01,D15",NV1: 17.00
8,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,C00,D01",NV1: 19.00
9,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00,A01,C00,D01",NV1: 18.50
10,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,"Tổ hợp môn: A00,A01,C00,D01",NV1: 19.00
11,Mã ngành: 7340109,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,"Tổ hợp môn: A00,A01,C00,D01",NV1: 18.50
12,Mã ngành: 7340115,Tên ngành: Marketing,"Tổ hợp môn: A00,A01,C00,D01",NV1: 21.00
13,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,C01,D01",NV1: 17.00
14,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,C01,D01",NV1: 17.00
15,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
16,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00,A01,C00,D01",NV1: 17.50
17,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,B00,C08,D07",NV1: 17.00
18,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C01,D01",NV1: 19.00
19,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00,A01,C01,D01",NV1: 18.00
20,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
21,Mã ngành: 7520114,Tên ngành: Kỹ thuật cơ - điện tử,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
22,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
23,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
24,Mã ngành: 7520212,Tên ngành: Kỹ thuật y sinh*,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
25,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
26,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: A00,B00,C08,D07",NV1: 16.00
27,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm*,"Tổ hợp môn: A00,B00,C08,D07",NV1: 17.00
28,Mã ngành: 7540204,Tên ngành: Công nghệ may,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
29,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: H01,H02,V00,V02",NV1: 16.50
30,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
31,Mã ngành: 7580205,Tên ngành: Kỹ thuật xây dựng công trình giao thông,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
32,Mã ngành: 7580301,Tên ngành: Kinh tế xây dựng,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
33,Mã ngành: 7580302,Tên ngành: Quản lý xây dựng,"Tổ hợp môn: A00,A01,C01,D01",NV1: 16.00
34,Mã ngành: 7720401,Tên ngành: Dược học,"Tổ hợp môn: A00,B00,C08,D07",NV1: 18.00
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
