,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.50
2,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 14.50
3,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.50
6,Mã ngành: 7480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 15.50
7,Mã ngành: 7480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 16.00
8,Mã ngành: 7510201,Tên ngành: Công nghệ kỹ thuật Cơ khí,Tổ hợp môn:,NV1: 14.50
9,Mã ngành: 7510201,Tên ngành: Công nghệ kĩ thuật cơ khí,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật Điện, Điện tử",Tổ hợp môn:,NV1: 15.50
11,Mã ngành: 7510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật Điện tử, Truyền thông",Tổ hợp môn:,NV1: 14.50
13,Mã ngành: 7510302,"Tên ngành: Công nghệ kĩ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 14.00
14,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật Điều khiển và Tự động hóa,Tổ hợp môn:,NV1: 14.00
15,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật Điều khiển và Tự động hóa,Tổ hợp môn:,NV1: 14.50
16,Mã ngành: 7540101,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 18.00
17,Mã ngành: 7540101,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 19.00
18,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm,Tổ hợp môn:,NV1: 17.50
19,Mã ngành: 7540202,"Tên ngành: Công nghệ Sợi, Dệt",Tổ hợp môn:,NV1: 13.00
20,Mã ngành: 7540202,"Tên ngành: Công nghệ sợi, dệt",Tổ hợp môn:,NV1: 13.00
21,Mã ngành: 7540204,Tên ngành: Công nghệ may,Tổ hợp môn:,NV1: 16.00
22,Mã ngành: 7540204,Tên ngành: Công nghệ May,Tổ hợp môn:,NV1: 16.50
23,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
25,Mã ngành: C340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 10.00
26,Mã ngành: C340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 10.00
27,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
28,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 10.00
30,Mã ngành: C480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 10.00
31,Mã ngành: C510201,Tên ngành: Công nghệ kỹ thuật Cơ khí,Tổ hợp môn:,NV1: 10.00
32,Mã ngành: C510201,Tên ngành: Công nghệ kỹ thuật Cơ khí,Tổ hợp môn:,NV1: 10.00
33,Mã ngành: C510301,"Tên ngành: Công nghệ kỹ thuật Điện, Điện tử",Tổ hợp môn:,NV1: 10.00
34,Mã ngành: C510301,"Tên ngành: Công nghệ kỹ thuật Điện, Điện tử",Tổ hợp môn:,NV1: 10.00
35,Mã ngành: C510302,"Tên ngành: Công nghệ kỹ thuật Điện tử, Truyền thông",Tổ hợp môn:,NV1: 10.00
36,Mã ngành: C510302,"Tên ngành: Công nghệ kỹ thuật Điện tử, Truyền thông",Tổ hợp môn:,NV1: 10.00
37,Mã ngành: C510303,Tên ngành: Công nghệ kỹ thuật Điều khiển và Tự động hóa,Tổ hợp môn:,NV1: 10.00
38,Mã ngành: C510303,Tên ngành: Công nghệ kỹ thuật Điều khiển và Tự động hóa,Tổ hợp môn:,NV1: 10.00
39,Mã ngành: C540101,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 10.00
40,Mã ngành: C540101,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 10.00
41,Mã ngành: C540101,Tên ngành: Công nghệ Thực phẩm,Tổ hợp môn:,NV1: 11.00
42,Mã ngành: C540202,"Tên ngành: Công nghệ Sợi, Dệt",Tổ hợp môn:,NV1: 10.00
43,Mã ngành: C540202,"Tên ngành: Công nghệ Sợi, Dệt",Tổ hợp môn:,NV1: 10.00
44,Mã ngành: C540204,Tên ngành: Công nghệ May,Tổ hợp môn:,NV1: 10.00
45,Mã ngành: C540204,Tên ngành: Công nghệ May,Tổ hợp môn:,NV1: 10.00
46,,,,
