,0,1,2,3
0,Mã ngành: 7380101,Tên ngành: LUẬT (Nữ Miền Bắc),Tổ hợp môn: C00,NV1: 25.50
1,Mã ngành: 7380101,Tên ngành: LUẬT (Nữ Miền Bắc),Tổ hợp môn: A00,NV1: 25.25
2,Mã ngành: 7380101,Tên ngành: LUẬT (Nữ Miền Bắc),Tổ hợp môn: A01,NV1: 22.75
3,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Nam),Tổ hợp môn: A01,NV1: 21.75
4,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Nam),Tổ hợp môn: C00,NV1: 26.50
5,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Nam),Tổ hợp môn: A00,NV1: 23.75
6,Mã ngành: 7380101,Tên ngành: LUẬT (Nữ Miền Nam),Tổ hợp môn: A01,NV1: 19.50
7,Mã ngành: 7380101,Tên ngành: LUẬT (Nữ Miền Nam),Tổ hợp môn: D01,NV1: 16.50
8,Mã ngành: 7380101,Tên ngành: Luật (nữ miền Bắc),Tổ hợp môn: A00,NV1: 25.75
9,Mã ngành: 7380101,Tên ngành: Luật (nữ miền Bắc),Tổ hợp môn: A01,NV1: 24.00
10,Mã ngành: 7380101,Tên ngành: Luật (nữ miền Bắc),Tổ hợp môn: A01,NV1: 23.50
11,Mã ngành: 7380101,Tên ngành: Luật (nữ miền Bắc),Tổ hợp môn: C00,NV1: 29.00
12,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Bắc),Tổ hợp môn: A00,NV1: 24.50
13,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Bắc),Tổ hợp môn: A01,NV1: 23.00
14,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Bắc),Tổ hợp môn: D01,NV1: 19.75
15,Mã ngành: 7380101,Tên ngành: LUẬT (Nam Miền Nam),Tổ hợp môn: A01,NV1: 21.75
16,,,,
