,0,1,2,3
0,Mã ngành: 301,Tên ngành: Xét nghiệm đa khoa.,Tổ hợp môn:,NV1: 17.00
1,Mã ngành: 301,Tên ngành: Xét nghiệm đa khoa,Tổ hợp môn:,NV1: 18.50
2,Mã ngành: 302,Tên ngành: Kỹ thuật hình ảnh.,Tổ hợp môn:,NV1: 16.00
3,Mã ngành: 302,Tên ngành: Kỹ thuật hình ảnh,Tổ hợp môn:,NV1: 17.50
4,Mã ngành: 303,Tên ngành: Vật lí trị liệu/ phục hồi chức năng.,Tổ hợp môn:,NV1: 15.50
5,Mã ngành: 303,Tên ngành: Vật lí trị liệu/ phục hồi chức năng,Tổ hợp môn:,NV1: 16.00
6,Mã ngành: 310,Tên ngành: Điều dưỡng đa khoa,Tổ hợp môn:,NV1: 17.50
7,Mã ngành: C65,Tên ngành: Xét nghiệm đa khoa.,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: C65,Tên ngành: Xét nghiệm đa khoa,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: C66,Tên ngành: Kỹ thuật hình ảnh (không tuyển nữ).,Tổ hợp môn:,NV1: 12.00
10,Mã ngành: C66,Tên ngành: Kỹ thuật hình ảnh (không tuyển nữ),Tổ hợp môn:,NV1: 13.50
11,Mã ngành: C67,Tên ngành: Vật lí trị liệu/ Phục hồi chức năng,Tổ hợp môn:,NV1: 12.00
12,Mã ngành: C68,Tên ngành: Kiểm nghiệm vệ sinh an toàn thực phẩm,Tổ hợp môn:,NV1: 12.00
13,Mã ngành: C71,Tên ngành: Điều dưỡng đa khoa.,Tổ hợp môn:,NV1: 12.00
14,Mã ngành: C71,Tên ngành: Điều dưỡng đa khoa,Tổ hợp môn:,NV1: 13.50
15,Mã ngành: C72,Tên ngành: Điều dưỡng nha khoa.,Tổ hợp môn:,NV1: 12.00
16,Mã ngành: C72,Tên ngành: Điều dưỡng nha khoa,Tổ hợp môn:,NV1: 13.50
17,Mã ngành: C73,Tên ngành: Điều dưỡng gây mê.,Tổ hợp môn:,NV1: 11.00
18,Mã ngành: C73,Tên ngành: Điều dưỡng gây mê,Tổ hợp môn:,NV1: 13.50
19,Mã ngành: C74,Tên ngành: Hộ sinh (không tuyển nam).,Tổ hợp môn:,NV1: 11.00
20,Mã ngành: C74,Tên ngành: Hộ sinh (không tuyển nam),Tổ hợp môn:,NV1: 13.50
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
