,0,1,2,3
0,Mã ngành: 101,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 102,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 401,Tên ngành: Kế Toán,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 402,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 402,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 403,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 701,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: C65,Tên ngành: Khoa học máy tính,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: C66,Tên ngành: Công nghệ kĩ thuật xây dựng,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: C67,Tên ngành: Kế Toán,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: C68,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
11,Mã ngành: C68,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: C69,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: C70,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.00
