,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 13.50
4,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 14.50
5,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 13.50
7,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
8,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
10,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7340404,Tên ngành: Quản trị Nhân lực,Tổ hợp môn:,NV1: 13.50
12,Mã ngành: 7340404,Tên ngành: Quản trị Nhân lực,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 13.50
14,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 14.50
15,Mã ngành: 7760101,Tên ngành: Công tác Xã hội,Tổ hợp môn:,NV1: 14.00
16,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 13.50
17,Mã ngành: C340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 10.00
18,Mã ngành: C340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 10.50
19,Mã ngành: C340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 11.50
20,Mã ngành: C340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: C340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 10.00
22,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.50
23,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
25,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.50
26,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
27,Mã ngành: C340404,Tên ngành: Quản trị Nhân lực,Tổ hợp môn:,NV1: 10.00
28,Mã ngành: C760101,Tên ngành: Công tác Xã hội,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C760101,Tên ngành: Công tác Xã hội,Tổ hợp môn:,NV1: 11.00
30,Mã ngành: C760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 10.50
31,Mã ngành: C760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 11.50
32,,,,
33,,,,
