,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
3,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 7340202,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 14.00
6,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
9,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 14.00
11,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 14.00
