,0,1,2,3
0,Mã ngành: 401,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 19.50
1,Mã ngành: 401,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 15.50
2,Mã ngành: 402,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 16.50
3,Mã ngành: 501,Tên ngành: Bảo hiểm:,Tổ hợp môn:,NV1: 19.00
4,Mã ngành: 501,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 15.50
5,Mã ngành: 502,Tên ngành: Công tác xã hội:,Tổ hợp môn:,NV1: 14.50
6,Mã ngành: 502,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 17.50
7,Mã ngành: C65,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: C65,Tên ngành: Quản trị nhân lực:,Tổ hợp môn:,NV1: 18.00
9,Mã ngành: C66,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.50
10,Mã ngành: C67,Tên ngành: Bảo hiểm:,Tổ hợp môn:,NV1: 18.00
11,Mã ngành: C67,Tên ngành: Bảo hiểm,Tổ hợp môn:,NV1: 14.00
12,Mã ngành: C68,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 17.00
