,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tê (kinh tế lao động),"Tổ hợp môn: A00, A01, D01",NV1: 14.50
1,Mã ngành: 7310401,Tên ngành: Tâm lý học,"Tổ hợp môn: A00, A01, D01",NV1: 14.50
2,Mã ngành: 7310401,Tên ngành: Tâm lý học,Tổ hợp môn: C00,NV1: 15.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01",NV1: 14.25
4,Mã ngành: 7340204,Tên ngành: Bảo hiểm,"Tổ hợp môn: A00, A01, D01",NV1: 14.00
5,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01",NV1: 14.25
6,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00, A01, D01",NV1: 14.50
7,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn: C00,NV1: 15.00
8,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn: C00,NV1: 16.00
9,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: A00, A01, D01",NV1: 14.50
