,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, D10, D14, D15",NV1: 14.00
1,Mã ngành: 7320108,Tên ngành: Quan hệ công chúng,"Tổ hợp môn: D01, D10, D14, D15",NV1: 14.00
2,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,"Tổ hợp môn: A00, A01, C04, D01",NV1: 14.00
3,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: A00, A01, D01, D15",NV1: 14.00
4,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00, A01, A02, D07",NV1: 14.00
5,Mã ngành: 7510601,Tên ngành: Quản lý công nghiệp,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
6,Mã ngành: 7580201,Tên ngành: Kỹ thuật xây dựng,"Tổ hợp môn: A00, A01, A02, D01",NV1: 14.00
7,Mã ngành: 7640101,Tên ngành: Thú y,"Tổ hợp môn: A06, B00, B02, C02",NV1: 14.00
8,Mã ngành: 7720201,Tên ngành: Dược học,"Tổ hợp môn: A00, B00, C02, D07",NV1: 20.00
9,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
10,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00, A01, B00, D01",NV1: 14.00
