,0,1,2,3
0,Mã ngành: 7240120,Tên ngành: Kinh doanh quốc tế,"Tổ hợp môn: A00, A01, D01, D96",NV1: 23.75
1,Mã ngành: 7240201,Tên ngành: Tài chính - Ngân hàng,"Tổ hợp môn: A00, A01, D01, D96",NV1: 21.10
2,Mã ngành: 7310115Q,Tên ngành: Marketing,"Tổ hợp môn: A00, A01, D01, D96",NV1: 18.50
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D96",NV1: 22.30
4,Mã ngành: 7340101C,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D96",NV1: 19.00
5,Mã ngành: 7340101Q,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, D01, D96",NV1: 18.70
6,Mã ngành: 7340115,Tên ngành: Marketing,"Tổ hợp môn: A00, A01, D01, D96",NV1: 24.50
7,Mã ngành: 7340115C,Tên ngành: Marketing,"Tổ hợp môn: A00, A01, D01, D96",NV1: 19.20
8,Mã ngành: 7340116,Tên ngành: Bất động sản,"Tổ hợp môn: A00, A01, D01, D96",NV1: 19.40
9,Mã ngành: 7340120C,Tên ngành: Kinh doanh quốc tế,"Tổ hợp môn: A00, A01, D01, D96",NV1: 20.00
10,Mã ngành: 7340120Q,Tên ngành: Kinh doanh quốc tế,"Tổ hợp môn: A00, A01, D01, D96",NV1: 20.00
11,Mã ngành: 7340201C,Tên ngành: Tài chính - Ngân hàng,"Tổ hợp môn: A00, A01, D01, D96",NV1: 17.00
12,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D96",NV1: 21.90
13,Mã ngành: 7340301C,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D96",NV1: 17.20
14,Mã ngành: 7340301Q,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, D01, D96",NV1: 16.45
15,Mã ngành: 7340405D,Tên ngành: Hệ thống thông tin quản lý,"Tổ hợp môn: A00, A01, D01, D96",NV1: 18.80
16,Mã ngành: 7810103D,Tên ngành: Quản tị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, D01, D96",NV1: 21.67
17,Mã ngành: 7810201C,Tên ngành: Quản trị khách sạn,"Tổ hợp môn: A00, A01, D01, D96",NV1: 17.80
18,Mã ngành: 7810201D,Tên ngành: Quản trị khách sạn,"Tổ hợp môn: A00, A01, D01, D96",NV1: 22.30
19,Mã ngành: 7810202D,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,"Tổ hợp môn: A00, A01, D01, D96",NV1: 21.20
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
