,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
1,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
2,Mã ngành: 7340301PH,Tên ngành: Kế toán,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
3,Mã ngành: 7380101,Tên ngành: Luật,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
4,Mã ngành: 7440221,Tên ngành: Khí tượng và khí hậu học,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
5,Mã ngành: 7440224,Tên ngành: Thủy văn học,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
6,Mã ngành: 7440298,Tên ngành: Biến đổi khí hậu và phát triển bền vững,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
7,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
8,Mã ngành: 7480201PH,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
9,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
10,Mã ngành: 7510406PH,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
11,Mã ngành: 7520501,Tên ngành: Kỹ thuật địa chất,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
12,Mã ngành: 7520503,Tên ngành: Kỹ thuật trắc địa – bản đồ,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
13,Mã ngành: 7520503PH,Tên ngành: Kỹ thuật trắc địa – bản đồ,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
14,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
15,Mã ngành: 7810103PH,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
16,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
17,Mã ngành: 7850101PH,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
18,Mã ngành: 7850102,Tên ngành: Kinh tế tài nguyên thiên nhiên,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
19,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
20,Mã ngành: 7850103PH,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
21,Mã ngành: 7850198,Tên ngành: Quản lý tài nguyên nước,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
22,Mã ngành: 7850199,Tên ngành: Quản lý biển,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
