,0,1,2,3
0,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn: M00,NV1: 15.50
1,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
2,Mã ngành: 7140205,Tên ngành: Giáo dục Chính trị,"Tổ hợp môn: C00,C19,C20,D66",NV1: 15.50
3,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,"Tổ hợp môn: A00,A01,D07,D08",NV1: 15.50
4,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,"Tổ hợp môn: A00,A01,A02",NV1: 15.50
5,Mã ngành: 7140212,Tên ngành: Sư phạm Hóa học,"Tổ hợp môn: A00,B00,D07",NV1: 15.50
6,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,"Tổ hợp môn: A02,B00,D08",NV1: 15.50
7,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,"Tổ hợp môn: C00,D14,D15,D66",NV1: 15.50
8,Mã ngành: 7220113,Tên ngành: Việt Nam học,"Tổ hợp môn: C00,D14,D15,D66",NV1: 15.50
9,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
10,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,D01,D07",NV1: 15.50
