,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
3,Mã ngành: 7360708,Tên ngành: Quan hệ công chúng,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa,Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7580102,Tên ngành: Kiến trúc,Tổ hợp môn:,NV1: 16.00
7,Mã ngành: 7580201,Tên ngành: Kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7720401,Tên ngành: Dược học,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7850101,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 13.00
10,Mã ngành: 7850101,Tên ngành: Quản lí tài nguyên và môi trường,Tổ hợp môn:,NV1: 14.00
11,Mã ngành: 7850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 14.00
13,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
14,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 10.00
15,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
16,Mã ngành: C510101,Tên ngành: Công nghệ kĩ thuật kiến trúc,Tổ hợp môn:,NV1: 10.00
17,Mã ngành: C510102,Tên ngành: Công nghệ kĩ thuật công trình xây dựng,Tổ hợp môn:,NV1: 10.00
18,Mã ngành: C850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 11.00
19,Mã ngành: C850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 10.00
20,Mã ngành: C900107,Tên ngành: Dược,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: C900107,Tên ngành: Dược,Tổ hợp môn:,NV1: 11.00
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
