,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
1,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
2,Mã ngành: 7340116,Tên ngành: Bất động sản,"Tổ hợp môn: A00,B00,C05,C08",NV1: 15.50
3,Mã ngành: 7340201,Tên ngành: Tài chính – Ngân hàng,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
4,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00,A01,C00,D01",NV1: 15.50
5,Mã ngành: 7360708,Tên ngành: Quan hệ công chúng.,"Tổ hợp môn: C00,D01,D14,D15",NV1: 15.50
6,Mã ngành: 7380107,Tên ngành: Luật kinh tế,"Tổ hợp môn: C00,D01,D14,D15",NV1: 15.50
7,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C05,D01",NV1: 15.50
8,Mã ngành: 7510205,Tên ngành: Công nghệ kỹ thuật ô tô,"Tổ hợp môn: A00,A01,C05,D01",NV1: 15.50
9,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hóa,"Tổ hợp môn: A00,B00,C05,C08",NV1: 15.50
10,Mã ngành: 7520320,Tên ngành: Kỹ thuật môi trường,"Tổ hợp môn: A00,B00,C05,C08",NV1: 15.50
11,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm*,"Tổ hợp môn: A02,B00,C06,C08",NV1: 15.50
12,Mã ngành: 7580102,Tên ngành: Kiến trúc,"Tổ hợp môn: H01,V00,V01",NV1: 15.50
13,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,"Tổ hợp môn: A00,A01,C05,D01",NV1: 15.50
14,Mã ngành: 7720332,Tên ngành: Xét nghiệm y học,"Tổ hợp môn: A00,B00,C08,D07",NV1: 15.50
15,Mã ngành: 7720401,Tên ngành: Dược học,"Tổ hợp môn: A00,B00,C05,C08",NV1: 15.50
16,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00,B00,C05,C08",NV1: 15.50
17,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,"Tổ hợp môn: A00,B00,C05,C08",NV1: 15.50
18,,,,
19,,,,
20,,,,
