,0,1,2,3
0,Mã ngành: 51140201,Tên ngành: Giáo dục Mầm non.,Tổ hợp môn:,NV1: 10.00
1,Mã ngành: 51140202,Tên ngành: Giáo dục Tiểu học.,Tổ hợp môn:,NV1: 17.50
2,Mã ngành: 51140212,Tên ngành: Sư phạm Hóa học.,Tổ hợp môn:,NV1: 8.00
3,Mã ngành: 51140219,Tên ngành: Sư phạm Địa lý.,Tổ hợp môn:,NV1: 8.00
4,Mã ngành: 51140231,Tên ngành: Sư phạm Tiếng Anh.,Tổ hợp môn:,NV1: 10.00
5,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 16.00
6,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 20.75
7,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 17.00
8,Mã ngành: 7140211,Tên ngành: Sư phạm Lý,Tổ hợp môn:,NV1: 15.50
9,Mã ngành: 7140212,Tên ngành: Su phạm Hoá học,Tổ hợp môn:,NV1: 15.75
10,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh,Tổ hợp môn:,NV1: 15.75
11,Mã ngành: 7140217,Tên ngành: Sư phạm Văn,Tổ hợp môn:,NV1: 17.00
12,Mã ngành: 7140218,Tên ngành: Sư phạm Sử,Tổ hợp môn:,NV1: 15.50
13,Mã ngành: 7140231,Tên ngành: Sư phạm Anh,Tổ hợp môn:,NV1: 19.00
14,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 18.00
15,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 17.00
16,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 16.50
17,,,,
18,,,,
