,0,1,2,3
0,Mã ngành: 7220342,Tên ngành: Quản lý văn hoá (M.Trung),Tổ hợp môn:,NV1: 15.50
1,Mã ngành: 7220342,Tên ngành: ' Quản lý văn hoá,Tổ hợp môn:,NV1: 21.00
2,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,Tổ hợp môn:,NV1: 22.00
3,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước (M.Trung),Tổ hợp môn:,NV1: 16.00
4,Mã ngành: 7320202,Tên ngành: Khoa học thư viện,Tổ hợp môn:,NV1: 19.50
5,Mã ngành: 7320202,Tên ngành: Khoa học thư viện (M.Trung),Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 7320303,Tên ngành: Lưu trữ học,Tổ hợp môn:,NV1: 20.25
7,Mã ngành: 7320303,Tên ngành: Lưu trữ hoc (M.Trung),Tổ hợp môn:,NV1: 15.50
8,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực (M.Trung),Tổ hợp môn:,NV1: 16.50
9,Mã ngành: 7340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 22.75
10,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 21.75
11,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng (M.Trung),Tổ hợp môn:,NV1: 15.50
12,Mã ngành: C220342,Tên ngành: Quản lý văn hoá,Tổ hợp môn:,NV1: 12.00
13,Mã ngành: C320202,Tên ngành: Khoa hoc thư viên,Tổ hợp môn:,NV1: 12.00
14,Mã ngành: C320303,Tên ngành: Lưu trữ học,Tổ hợp môn:,NV1: 14.00
15,Mã ngành: C340404,Tên ngành: Quản trị nhân lực,Tổ hợp môn:,NV1: 16.00
16,Mã ngành: C340404,Tên ngành: Ọuản tri nhân lực (M.Trung),Tổ hợp môn:,NV1: 12.00
17,Mã ngành: C340406,Tên ngành: Quản trị văn phòng (M.Trung),Tổ hợp môn:,NV1: 12.00
18,Mã ngành: C340406,Tên ngành: Hành chính văn thư,Tổ hợp môn:,NV1: 12.00
19,Mã ngành: C340406,Tên ngành: Văn thư - Lưu trữ,Tổ hợp môn:,NV1: 12.00
20,Mã ngành: C340406,Tên ngành: Hành chính học,Tổ hợp môn:,NV1: 12.00
21,Mã ngành: C340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 14.00
22,Mã ngành: C340406,Tên ngành: Hành chính học (M.Trung),Tổ hợp môn:,NV1: 12.00
23,Mã ngành: C340407,Tên ngành: Thư ký văn phòng,Tổ hợp môn:,NV1: 12.00
24,Mã ngành: C380201,Tên ngành: Dich vụ pháp lý (M.Trung),Tổ hợp môn:,NV1: 12.00
25,Mã ngành: C380201,Tên ngành: Dịch vụ pháp lý,Tổ hợp môn:,NV1: 12.00
26,Mã ngành: C480202,Tên ngành: Tin học ứng dụng,Tổ hợp môn:,NV1: 12.00
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
