,0,1,2,3
0,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 14.00
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,Tổ hợp môn:,NV1: 13.50
4,Mã ngành: 7220310,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 7220310,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 14.00
6,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 13.50
7,Mã ngành: 7220330,Tên ngành: Văn học,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
10,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.50
11,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
14,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.50
15,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 13.00
17,Mã ngành: 7510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 13.50
18,Mã ngành: C220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 10.00
19,Mã ngành: C220113,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 11.00
20,Mã ngành: C220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: C220204,Tên ngành: Tiếng Trung Quốc,Tổ hợp môn:,NV1: 10.00
22,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
23,Mã ngành: C340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
25,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
26,Mã ngành: C510301,"Tên ngành: Công nghệ kĩ thuật điện, điện tử",Tổ hợp môn:,NV1: 10.00
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
