,0,1,2,3
0,Mã ngành: 51140201,Tên ngành: Giáo dục mầm non,Tổ hợp môn: M00,NV1: 16.00
1,Mã ngành: 51140206,Tên ngành: Giáo dục thể chất,"Tổ hợp môn: T00, T02, T04",NV1: 16.00
2,Mã ngành: 51140222,Tên ngành: Sư phạm mỹ thuật,"Tổ hợp môn: H01, H02, V00",NV1: 16.00
3,Mã ngành: 51150221,Tên ngành: Sư phạm âm nhạc,"Tổ hợp môn: N03, N100, N101",NV1: 16.00
4,Mã ngành: 7120210,Tên ngành: Sư phạm Tin học ( chuyên ngành Tin học - Công nghệ tin học),"Tổ hợp môn: A00, A01, D01",NV1: 18.00
5,Mã ngành: 7140201,Tên ngành: Giáo dục mầm non,Tổ hợp môn: M00,NV1: 18.00
6,Mã ngành: 7140202,Tên ngành: Giáo dục tiểu học,"Tổ hợp môn: A00, A01, C00, D01",NV1: 18.00
7,Mã ngành: 7140209,Tên ngành: Sư phạm toán học,"Tổ hợp môn: A00, A01, B00, D01",NV1: 18.00
8,Mã ngành: 7140212,Tên ngành: Sư phạm Hoá học ( chuyên ngành Hoá Lý),"Tổ hợp môn: A00, B00, A01, D07",NV1: 18.00
9,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh Học (chuyên ngành Sinh học - Công nghệ THPT),"Tổ hợp môn: B00, A02, D08",NV1: 18.00
10,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,"Tổ hợp môn: C00, D01, D14",NV1: 18.00
11,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử (chuyên ngành Sử Địa),"Tổ hợp môn: C00, D14, D15",NV1: 18.00
12,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng anh (chuyên ngành tiếng anh tiểu học),"Tổ hợp môn: D01, A01, D14",NV1: 18.00
13,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,"Tổ hợp môn: D01, A01, D14",NV1: 14.00
14,Mã ngành: 7229030,Tên ngành: Văn học,"Tổ hợp môn: C00, D01, D14",NV1: 14.00
15,Mã ngành: 7310630,Tên ngành: Việt Nam học (chuyên ngành Văn hoá - Du lịch),"Tổ hợp môn: C00, D01, D14",NV1: 14.00
16,Mã ngành: 7420101,Tên ngành: Sinh học ( chuyên ngành Sinh học ứng dụng),"Tổ hợp môn: B00, A02, D08",NV1: 14.00
17,Mã ngành: 7440102,Tên ngành: Vật lý học (chuyên ngành Vật lý điện tử),"Tổ hợp môn: A00, A01, A02",NV1: 14.00
18,Mã ngành: 7440112,Tên ngành: Hoá học ( chuyên ngành Hoá Thực phẩm),"Tổ hợp môn: A00, B00, D07",NV1: 14.00
19,Mã ngành: 7480210,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01, D01",NV1: 14.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
