,0,1,2,3
0,Mã ngành: 51140201,Tên ngành: Giáo dục Mầm non.,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 51140201,Tên ngành: Giáo dục Mầm non.,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 51140202,Tên ngành: Giáo dục Tiểu học.,Tổ hợp môn:,NV1: 15.00
3,Mã ngành: 51140202,Tên ngành: Giáo dục Tiểu học.,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 6220103,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 12.00
5,Mã ngành: 6220206,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 12.00
6,Mã ngành: 6220206,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 6220209,Tên ngành: Tiếng Trung Quốc,Tổ hợp môn:,NV1: 12.00
8,Mã ngành: 6220209,Tên ngành: Tiếng Trung Quốc,Tổ hợp môn:,NV1: 15.00
9,Mã ngành: 6340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 12.00
10,Mã ngành: 6340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 6340404,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 12.00
12,Mã ngành: 6340404,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 6480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 12.00
14,Mã ngành: 6480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 15.00
15,Mã ngành: 6510303,"Tên ngành: Công nghệ KT Điện, ĐT",Tổ hợp môn:,NV1: 12.00
16,Mã ngành: 6510303,"Tên ngành: Công nghệ KT Điện, ĐT",Tổ hợp môn:,NV1: 15.00
17,Mã ngành: 6620119,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 12.00
18,Mã ngành: 6620119,Tên ngành: Chăn nuôi,Tổ hợp môn:,NV1: 15.00
19,Mã ngành: 6620303,Tên ngành: Nuôi trồng thủy sản,Tổ hợp môn:,NV1: 12.00
