,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7220204,Tên ngành: Tiếng Trung,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 14.00
5,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 13.50
6,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 13.00
8,Mã ngành: 7340201,Tên ngành: Tài chính Ngân hàng,Tổ hợp môn:,NV1: 13.50
9,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
10,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.50
12,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
13,Mã ngành: 7510203,Tên ngành: Công nghệ kỹ thuật Cơ Điện tử,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7510301,Tên ngành: Công nghệ kỹ thuật điện - điện tử,Tổ hợp môn:,NV1: 13.00
15,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: C340101,"Tên ngành: Quản trị kinh doanh (Gồm các ngành: Tài chính - Ngân hàng, Kế toán, quản trị kinh doanh, Thương mại)",Tổ hợp môn:,NV1: 10.00
17,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
18,,,,
19,,,,
20,,,,
