,0,1,2,3
0,Mã ngành: 6220103,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 15.00
1,Mã ngành: 7140114,Tên ngành: Quản lý giáo dục,Tổ hợp môn:,NV1: 18.00
2,Mã ngành: 7140114,Tên ngành: Quản lý giáo dục,Tổ hợp môn:,NV1: 14.00
3,Mã ngành: 7140201,Tên ngành: Giáo dục Mầm non,Tổ hợp môn:,NV1: 18.50
4,Mã ngành: 7140202,Tên ngành: Giáo dục Tiểu học,Tổ hợp môn:,NV1: 19.00
5,Mã ngành: 7140205,Tên ngành: Giáo dục chính trị,Tổ hợp môn:,NV1: 17.00
6,Mã ngành: 7140206,Tên ngành: Giáo dục Thể chất,Tổ hợp môn:,NV1: 19.98
7,Mã ngành: 7140209,Tên ngành: Sư phạm Toán học,Tổ hợp môn:,NV1: 17.50
8,Mã ngành: 7140210,Tên ngành: Sư phạm Tin học,Tổ hợp môn:,NV1: 20.00
9,Mã ngành: 7140211,Tên ngành: Sư phạm Vật lý,Tổ hợp môn:,NV1: 23.00
10,Mã ngành: 7140212,Tên ngành: Sư phạm Hoá học,Tổ hợp môn:,NV1: 17.00
11,Mã ngành: 7140213,Tên ngành: Sư phạm Sinh học,Tổ hợp môn:,NV1: 22.00
12,Mã ngành: 7140217,Tên ngành: Sư phạm Ngữ văn,Tổ hợp môn:,NV1: 17.00
13,Mã ngành: 7140218,Tên ngành: Sư phạm Lịch sử,Tổ hợp môn:,NV1: 17.00
14,Mã ngành: 7140219,Tên ngành: Sư phạm Địa lí,Tổ hợp môn:,NV1: 17.00
15,Mã ngành: 7140231,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 18.00
16,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 18.00
17,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn:,NV1: 14.00
18,Mã ngành: 7229010,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 18.00
19,Mã ngành: 7229010,Tên ngành: Lịch sử,Tổ hợp môn:,NV1: 23.25
20,Mã ngành: 7229030,Tên ngành: Văn học,Tổ hợp môn:,NV1: 14.00
21,Mã ngành: 7229030,Tên ngành: Văn học,Tổ hợp môn:,NV1: 18.00
22,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 18.00
23,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 14.00
24,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,Tổ hợp môn:,NV1: 18.00
25,Mã ngành: 7310205,Tên ngành: Quản lý nhà nước,Tổ hợp môn:,NV1: 14.00
26,Mã ngành: 7310403,Tên ngành: Tâm lý học giáo dục,Tổ hợp môn:,NV1: 18.00
27,Mã ngành: 7310403,Tên ngành: Tâm lý học giáo dục,Tổ hợp môn:,NV1: 14.00
28,Mã ngành: 7310608,Tên ngành: Đông phương học,Tổ hợp môn:,NV1: 18.00
29,Mã ngành: 7310608,Tên ngành: Đông phương học,Tổ hợp môn:,NV1: 14.00
30,Mã ngành: 7310630,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 18.00
31,Mã ngành: 7310630,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 14.00
32,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 18.00
33,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
34,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 18.00
35,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 14.00
36,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 18.00
37,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 14.00
38,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 18.00
39,Mã ngành: 7380101,Tên ngành: Luật,Tổ hợp môn:,NV1: 14.00
40,Mã ngành: 7420101,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 22.00
41,Mã ngành: 7420101,Tên ngành: Sinh học,Tổ hợp môn:,NV1: 24.50
42,Mã ngành: 7420203,Tên ngành: Sinh học ứng dụng,Tổ hợp môn:,NV1: 23.00
43,Mã ngành: 7420203,Tên ngành: Sinh học ứng dụng,Tổ hợp môn:,NV1: 22.00
44,Mã ngành: 7440102,Tên ngành: Vật lý học,Tổ hợp môn:,NV1: 27.50
45,Mã ngành: 7440102,Tên ngành: Vật lý học,Tổ hợp môn:,NV1: 17.00
46,Mã ngành: 7440112,Tên ngành: Hoá học,Tổ hợp môn:,NV1: 26.00
47,Mã ngành: 7440112,Tên ngành: Hoá học,Tổ hợp môn:,NV1: 19.00
48,Mã ngành: 7440217,Tên ngành: Địa lý tự nhiên,Tổ hợp môn:,NV1: 23.00
49,Mã ngành: 7440217,Tên ngành: Địa lý tự nhiên,Tổ hợp môn:,NV1: 19.00
50,Mã ngành: 7460101,Tên ngành: Toán học,Tổ hợp môn:,NV1: 27.50
51,Mã ngành: 7460101,Tên ngành: Toán học,Tổ hợp môn:,NV1: 22.00
52,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 24.50
53,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,Tổ hợp môn:,NV1: 22.00
54,Mã ngành: 7460201,Tên ngành: Thông kê,Tổ hợp môn:,NV1: 18.00
55,Mã ngành: 7460201,Tên ngành: Thông kê,Tổ hợp môn:,NV1: 18.00
56,Mã ngành: 7480103,Tên ngành: Kỹ thuật phân mêm,Tổ hợp môn:,NV1: 18.00
57,Mã ngành: 7480103,Tên ngành: Kỹ thuật phân mêm,Tổ hợp môn:,NV1: 14.00
58,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 18.00
59,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 14.00
60,Mã ngành: 7510103,Tên ngành: Công nghệ kỹ thuật xây dựng,Tổ hợp môn:,NV1: 14.00
61,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hoá học,Tổ hợp môn:,NV1: 18.00
62,Mã ngành: 7510401,Tên ngành: Công nghệ kỹ thuật hoá học,Tổ hợp môn:,NV1: 14.00
63,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện từ",Tổ hợp môn:,NV1: 14.00
64,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện từ",Tổ hợp môn:,NV1: 18.00
65,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 18.00
66,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 14.00
67,Mã ngành: 7620109,Tên ngành: Nông học,Tổ hợp môn:,NV1: 18.00
68,Mã ngành: 7620109,Tên ngành: Nông học,Tổ hợp môn:,NV1: 14.00
69,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 18.00
70,Mã ngành: 7760101,Tên ngành: Công tác xã hội,Tổ hợp môn:,NV1: 14.00
71,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 18.00
72,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 14.00
73,Mã ngành: 7810201,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 18.00
74,Mã ngành: 7810201,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 14.00
75,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 14.00
76,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,Tổ hợp môn:,NV1: 18.00
77,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 18.00
78,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 14.00
79,,,,
80,,,,
81,,,,
82,,,,
