,0,1,2,3
0,Mã ngành: 100,Tên ngành: Sư phạm Toán,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 101,Tên ngành: Sư Phạm Lý,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 102,Tên ngành: Sư phạm Văn,Tổ hợp môn:,NV1: 14.00
3,Mã ngành: 103,Tên ngành: Giáo dục tiểu học.,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 103,Tên ngành: Giáo dục tiểu học,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 104,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 105,Tên ngành: Tiếng Anh,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 107,Tên ngành: Việt Nam học,Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 108,Tên ngành: Việt Nam học.,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 109,Tên ngành: Sư phạm Sinh kỹ thuật,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 110,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
