,0,1,2,3
0,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh (chuyên ngành : Quản trị doanh nghiệp),Tổ hợp môn:,NV1: 13.50
1,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh (chuyên ngành : Quản trị doanh nghiệp),Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7340301,"Tên ngành: Kế toán (gồm các chuyên ngành:Kế toán doanh nghiệp, Kế toán tổng hợp).",Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7340301,"Tên ngành: Kế toán (gồm các chuyên ngành:Kế toán doanh nghiệp, Kế toán tổng hợp).",Tổ hợp môn:,NV1: 13.00
4,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh (chuyên ngành : Quản trị doanh nghiệp),Tổ hợp môn:,NV1: 10.00
5,Mã ngành: C340201,"Tên ngành: Tài chính - Ngân hàng (chuyên ngành: Kế toán ngân hàng, Ngân hàng thương mại)",Tổ hợp môn:,NV1: 10.00
6,Mã ngành: C340301,"Tên ngành: Kế toán (gồm các chuyên ngành:Kế toán doanh nghiệp, Kế toán tổng hợp, Kế toán Hành chính sự nghiệp, Kế toán công)",Tổ hợp môn:,NV1: 10.00
7,Mã ngành: C380201,Tên ngành: Dịch vụ pháp lý,Tổ hợp môn:,NV1: 10.00
8,Mã ngành: C480201,Tên ngành: Công nghệ Thông tin,Tổ hợp môn:,NV1: 10.00
9,Mã ngành: C510201,Tên ngành: ngành công nghệ kỹ thuật cơ khí,Tổ hợp môn:,NV1: 10.00
10,Mã ngành: C510301,Tên ngành: Công nghệ Kỹ thuật Điện Điện tử,Tổ hợp môn:,NV1: 10.00
