,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa,"Tổ hợp môn: C04,D01,D10,D15",NV1: 15.00
1,Mã ngành: 7320104,Tên ngành: Truyền thông đa phương tiện,"Tổ hợp môn: A01,C01,C02,D01",NV1: 15.00
2,Mã ngành: 7320106,Tên ngành: Công nghệ truyền thông,"Tổ hợp môn: C04,D01,D10,D15",NV1: 15.00
3,Mã ngành: 7340199,Tên ngành: Thương mại điện tử*,"Tổ hợp môn: A00,C00,C04,D01",NV1: 15.00
4,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,"Tổ hợp môn: A00,C00,C04,D01",NV1: 15.00
5,Mã ngành: 7340406,Tên ngành: Quản trị văn phòng,"Tổ hợp môn: A00,C00,C04,D01",NV1: 15.00
6,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,"Tổ hợp môn: A00,A01,C02,D01",NV1: 15.00
7,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,"Tổ hợp môn: A00,A01,C02,D01",NV1: 15.00
8,Mã ngành: 7480103,Tên ngành: Kỹ thuật phần mềm,"Tổ hợp môn: A00,A01,C02,D01",NV1: 15.00
9,Mã ngành: 7480104,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00,A01,C02,D01",NV1: 15.00
10,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00,A01,C02,D01",NV1: 15.00
11,Mã ngành: 7480299,Tên ngành: An toàn thông tin,"Tổ hợp môn: A00,A01,C02,D01",NV1: 15.00
12,Mã ngành: 7510301,"Tên ngành: Công nghệ kỹ thuật điện, điện tử","Tổ hợp môn: A00,A01,C01,D01",NV1: 15.00
13,Mã ngành: 7510302,"Tên ngành: Công nghệ kỹ thuật điện tử, truyền thông","Tổ hợp môn: A00,C01,C04,D01",NV1: 15.00
14,Mã ngành: 7510303,Tên ngành: Công nghệ kỹ thuật điều khiển và tự động hóa,"Tổ hợp môn: A00,A01,C01,D01",NV1: 15.00
15,Mã ngành: 7510304,Tên ngành: Công nghệ kỹ thuật máy tính,"Tổ hợp môn: A00,A01,C01,D01",NV1: 15.00
16,Mã ngành: 7520212,Tên ngành: Kỹ thuật y sinh*,"Tổ hợp môn: A00,B00,D01,D07",NV1: 15.00
17,,,,
18,,,,
