,0,1,2,3
0,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7310101,Tên ngành: Kinh tế,Tổ hợp môn:,NV1: 13.50
2,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7340101,Tên ngành: Quản trị Kinh doanh,Tổ hợp môn:,NV1: 13.00
4,Mã ngành: 7340103,Tên ngành: Quản trị Kinh doanh Du lịch và Lữ hành,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7340103,Tên ngành: Quản trị kinh doanh Du Lịch và Lữ Hành,Tổ hợp môn:,NV1: 13.50
6,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 13.00
7,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 13.50
8,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 15.50
10,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 15.50
11,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
