,0,1,2,3
0,Mã ngành: 701,Tên ngành: SP Tiếng Anh,Tổ hợp môn:,NV1: 19.00
1,Mã ngành: 702,Tên ngành: Cử nhân song ngữ Trung - Anh,Tổ hợp môn:,NV1: 15.00
2,Mã ngành: 702,Tên ngành: Cử nhân song ngữ Trung - Anh,Tổ hợp môn:,NV1: 16.50
3,Mã ngành: 703,Tên ngành: SP Tiếng Trung,Tổ hợp môn:,NV1: 15.00
4,Mã ngành: 703,Tên ngành: SP Tiếng Trung,Tổ hợp môn:,NV1: 16.00
5,Mã ngành: 704,Tên ngành: SP song ngữ Trung - Anh,Tổ hợp môn:,NV1: 15.00
6,Mã ngành: 704,Tên ngành: SP song ngữ Trung - Anh,Tổ hợp môn:,NV1: 15.50
7,Mã ngành: 705,Tên ngành: SP Song ngữ Nga - Anh,Tổ hợp môn:,NV1: 15.00
8,Mã ngành: 705,Tên ngành: SP Song ngữ Nga - Anh,Tổ hợp môn:,NV1: 16.00
9,Mã ngành: 706,Tên ngành: Cử nhân Tiếng Anh,Tổ hợp môn:,NV1: 15.00
10,Mã ngành: 706,Tên ngành: Cử nhân Tiếng Anh,Tổ hợp môn:,NV1: 15.00
11,Mã ngành: 707,Tên ngành: Cử nhân Tiếng Trung,Tổ hợp môn:,NV1: 15.00
12,Mã ngành: 707,Tên ngành: Cử nhân Tiếng Trung,Tổ hợp môn:,NV1: 15.00
13,Mã ngành: 708,Tên ngành: Cử nhân song ngữ Pháp – Anh,Tổ hợp môn:,NV1: 15.50
14,Mã ngành: 708,Tên ngành: Cử nhân song ngư Pháp - Anh,Tổ hợp môn:,NV1: 15.50
15,Mã ngành: C68,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
16,Mã ngành: C81,Tên ngành: Sư phạm Tiếng Anh,Tổ hợp môn:,NV1: 10.00
17,Mã ngành: C82,Tên ngành: Sư phạm song ngữ Trung – Anh,Tổ hợp môn:,NV1: 10.00
18,Mã ngành: C82,Tên ngành: Sư phạm song ngữ Trung – Anh,Tổ hợp môn:,NV1: 10.00
19,Mã ngành: C83,Tên ngành: Sư phạm Tiếng Trung,Tổ hợp môn:,NV1: 10.00
20,Mã ngành: C83,Tên ngành: Sư phạm Tiếng Trung,Tổ hợp môn:,NV1: 10.00
21,Mã ngành: C84,Tên ngành: Sư phạm song ngữ Nga – Anh,Tổ hợp môn:,NV1: 10.00
22,Mã ngành: C84,Tên ngành: Sư phạm song ngữ Nga – Anh,Tổ hợp môn:,NV1: 10.00
23,Mã ngành: C85,Tên ngành: Sư phạm song ngữ Pháp – Anh,Tổ hợp môn:,NV1: 10.00
24,Mã ngành: C85,Tên ngành: Sư phạm song ngữ Pháp – Anh,Tổ hợp môn:,NV1: 10.00
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
