,0,1,2,3
0,Mã ngành: 7210403,Tên ngành: Thiết kế đồ họa (hệ số 2 môn Vẽ trang trí màu hoặc môn Hình họa mỹ thuật),Tổ hợp môn:,NV1: 18.00
1,Mã ngành: 7210404,Tên ngành: Thiết kế thời trang ( hệ số 2 môn Vẽ trang trí màu),Tổ hợp môn:,NV1: 18.00
2,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh (hệ số 2 môn Anh văn),Tổ hợp môn:,NV1: 19.00
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 13.50
5,Mã ngành: 7340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 13.00
6,Mã ngành: 7340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 15.00
7,Mã ngành: 7340109,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,Tổ hợp môn:,NV1: 13.50
8,Mã ngành: 7340109,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7340115,Tên ngành: Marketing,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 13.00
11,Mã ngành: 7340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 13.50
12,Mã ngành: 7340201,Tên ngành: Tài chính - Ngân hàng,Tổ hợp môn:,NV1: 14.00
13,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.00
14,Mã ngành: 7340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 13.50
15,Mã ngành: 7340404,Tên ngành: Quản trị nguồn nhân lực,Tổ hợp môn:,NV1: 13.00
16,Mã ngành: 7340404,Tên ngành: Quản trị nguồn nhân lực,Tổ hợp môn:,NV1: 13.50
17,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn:,NV1: 13.00
18,Mã ngành: 7340405,Tên ngành: Hệ thống thông tin quản lý,Tổ hợp môn:,NV1: 13.50
19,Mã ngành: 7460112,Tên ngành: Toán ứng dụng ( hệ số 2 môn Toán),Tổ hợp môn:,NV1: 17.00
20,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 13.50
21,Mã ngành: 7480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 13.00
22,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.00
23,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 13.50
24,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 13.00
25,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 14.00
26,Mã ngành: C220201,Tên ngành: Tiếng Anh (hệ số 2 môn Anh văn),Tổ hợp môn:,NV1: 15.00
27,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.50
28,Mã ngành: C340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 10.00
29,Mã ngành: C340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 10.50
30,Mã ngành: C340103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,Tổ hợp môn:,NV1: 10.00
31,Mã ngành: C340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 10.50
32,Mã ngành: C340107,Tên ngành: Quản trị khách sạn,Tổ hợp môn:,NV1: 10.00
33,Mã ngành: C340109,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,Tổ hợp môn:,NV1: 10.50
34,Mã ngành: C340109,Tên ngành: Quản trị nhà hàng và dịch vụ ăn uống,Tổ hợp môn:,NV1: 10.00
35,Mã ngành: C340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 10.50
36,Mã ngành: C340120,Tên ngành: Kinh doanh quốc tế,Tổ hợp môn:,NV1: 10.00
37,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.50
38,Mã ngành: C340301,Tên ngành: Kế toán,Tổ hợp môn:,NV1: 10.00
39,Mã ngành: C340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 10.00
40,Mã ngành: C340406,Tên ngành: Quản trị văn phòng,Tổ hợp môn:,NV1: 10.50
41,Mã ngành: C480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 10.50
42,Mã ngành: C480102,Tên ngành: Truyền thông và mạng máy tính,Tổ hợp môn:,NV1: 10.00
43,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.50
44,Mã ngành: C480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 10.00
