,0,1,2,3
0,Mã ngành: 7140214,Tên ngành: Sư phạm kỹ thuật công nghiệp,Tổ hợp môn:,NV1: 13.00
1,Mã ngành: 7510604,Tên ngành: Kinh tế công nghiệp,Tổ hợp môn:,NV1: 13.00
2,Mã ngành: 7510604,Tên ngành: Kinh tế công nghiệp: Kế toán doanh nghiệp công nghiệp; Quản trị doanh nghiệp công nghiệp.,Tổ hợp môn:,NV1: 13.50
3,Mã ngành: 7520103,Tên ngành: Kỹ thuật cơ khí,Tổ hợp môn:,NV1: 14.00
4,Mã ngành: 7520114,Tên ngành: Kỹ thuật Cơ - Điện tử.,Tổ hợp môn:,NV1: 13.00
5,Mã ngành: 7520114,Tên ngành: Kỹ thuật cơ - điện tử,Tổ hợp môn:,NV1: 13.50
6,Mã ngành: 7520201,"Tên ngành: Kỹ thuật điện, điện tử",Tổ hợp môn:,NV1: 14.00
7,Mã ngành: 7520207,"Tên ngành: Kỹ thuật điện tử, truyền thông",Tổ hợp môn:,NV1: 14.00
8,Mã ngành: 7520214,Tên ngành: Kỹ thuật máy tính,Tổ hợp môn:,NV1: 13.00
9,Mã ngành: 7520216,Tên ngành: Kỹ thuật điều khiển và tự động hóa,Tổ hợp môn:,NV1: 14.00
10,Mã ngành: 7520320,Tên ngành: Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 14.50
11,Mã ngành: 7520320,Tên ngành: Kỹ thuật Môi trường,Tổ hợp môn:,NV1: 13.00
12,Mã ngành: 7580201,Tên ngành: Kỹ thuật công trình xây dựng,Tổ hợp môn:,NV1: 13.50
