,0,1,2,3
0,Mã ngành: 7220201,Tên ngành: Ngôn ngữ Anh,Tổ hợp môn: D01,NV1: 19.80
1,Mã ngành: 7220204,Tên ngành: Ngôn ngữ Trung Quốc,"Tổ hợp môn: D01, D04",NV1: 21.60
2,Mã ngành: 7220209,Tên ngành: Ngôn ngữ Nhật,"Tổ hợp môn: D01, D06",NV1: 20.10
3,Mã ngành: 7220210,Tên ngành: Ngôn ngữ Hàn Quốc,Tổ hợp môn: D01,NV1: 20.70
4,Mã ngành: 7310630,Tên ngành: Việt Nam học,"Tổ hợp môn: A00, C00, D01, D04",NV1: 18.00
5,Mã ngành: 7320104,Tên ngành: Truyền thông đa phương tiện,"Tổ hợp môn: A00, C00, D01, D03",NV1: 19.70
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,"Tổ hợp môn: A00, C00, D01, D03",NV1: 19.70
7,Mã ngành: 7340201,Tên ngành: Tài chính ngân hàng,"Tổ hợp môn: A00, C00, D01, D03",NV1: 19.20
8,Mã ngành: 7340301,Tên ngành: Kế toán,"Tổ hợp môn: A00, C00, D01, D03",NV1: 19.00
9,Mã ngành: 7460112,Tên ngành: Toán ứng dụng,"Tổ hợp môn: A00, A01",NV1: 15.10
10,Mã ngành: 7480101,Tên ngành: Khoa học máy tính,"Tổ hợp môn: A00, A01",NV1: 15.50
11,Mã ngành: 7480102,Tên ngành: Mạng máy tính và truyền thông dữ liệu,"Tổ hợp môn: A00, A01",NV1: 15.50
12,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,"Tổ hợp môn: A00, A01",NV1: 16.50
13,Mã ngành: 7480201,Tên ngành: Hệ thống thông tin,"Tổ hợp môn: A00, A01",NV1: 15.50
14,Mã ngành: 7510605,Tên ngành: Logistics và quản lý chuỗi cung ứng,"Tổ hợp môn: A00, A01, D01, D03",NV1: 19.00
15,Mã ngành: 7720301,Tên ngành: Điều dưỡng,Tổ hợp môn: B00,NV1: 18.20
16,Mã ngành: 7720401,Tên ngành: Dinh dưỡng,Tổ hợp môn: B00,NV1: 18.20
17,Mã ngành: 7720701,Tên ngành: Y tế công cộng,Tổ hợp môn: B00,NV1: 15.10
18,Mã ngành: 7720802,Tên ngành: Quản lý bệnh viện,Tổ hợp môn: B00,NV1: 15.40
19,Mã ngành: 7760101,Tên ngành: Công tác xã hội,"Tổ hợp môn: A00, C00, D01, D04",NV1: 17.50
20,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: A00, A01, D01, D03",NV1: 19.70
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
