,0,1,2,3
0,Mã ngành: 7110104,Tên ngành: Cấp thoát nước,Tổ hợp môn:,NV1: 18.25
1,Mã ngành: 7110104,Tên ngành: Cấp thoát nước,Tổ hợp môn:,NV1: 18.25
2,Mã ngành: 7110104,Tên ngành: Cấp thoát nước,Tổ hợp môn:,NV1: 18.25
3,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 18.75
4,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 18.75
5,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 18.75
6,Mã ngành: 7340101,Tên ngành: Quản trị kinh doanh,Tổ hợp môn:,NV1: 18.75
7,Mã ngành: 7440201,Tên ngành: Địa chất học,Tổ hợp môn:,NV1: 16.75
8,Mã ngành: 7440201,Tên ngành: Địa chất học,Tổ hợp môn:,NV1: 16.75
9,Mã ngành: 7440201,Tên ngành: Địa chất học,Tổ hợp môn:,NV1: 16.75
10,Mã ngành: 7440221,Tên ngành: Khí tượng học,Tổ hợp môn:,NV1: 16.25
11,Mã ngành: 7440221,Tên ngành: Khí tượng học,Tổ hợp môn:,NV1: 16.25
12,Mã ngành: 7440221,Tên ngành: Khí tượng học,Tổ hợp môn:,NV1: 16.25
13,Mã ngành: 7440221,Tên ngành: Khí tượng học,Tổ hợp môn:,NV1: 16.25
14,Mã ngành: 7440224,Tên ngành: Thủy văn,Tổ hợp môn:,NV1: 15.75
15,Mã ngành: 7440224,Tên ngành: Thủy văn,Tổ hợp môn:,NV1: 15.75
16,Mã ngành: 7440224,Tên ngành: Thủy văn,Tổ hợp môn:,NV1: 15.75
17,Mã ngành: 7440224,Tên ngành: Thủy văn,Tổ hợp môn:,NV1: 15.75
18,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 18.25
19,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 18.25
20,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 18.25
21,Mã ngành: 7480201,Tên ngành: Công nghệ thông tin,Tổ hợp môn:,NV1: 18.25
22,Mã ngành: 7510406,Tên ngành: Công nghệ kĩ thuật môi trường,Tổ hợp môn:,NV1: 19.25
23,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,Tổ hợp môn:,NV1: 19.25
24,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuât môi trường,Tổ hợp môn:,NV1: 19.25
25,Mã ngành: 7520503,Tên ngành: Kỹ thuật Trắc địa – Bản đồ,Tổ hợp môn:,NV1: 16.50
26,Mã ngành: 7520503,Tên ngành: Kỹ thuật Trắc địa – Bản đồ,Tổ hợp môn:,NV1: 16.50
27,Mã ngành: 7520503,Tên ngành: Kỹ thuật Trắc địa – Bản đồ,Tổ hợp môn:,NV1: 16.50
28,Mã ngành: 7850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 18.75
29,Mã ngành: 7850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 18.75
30,Mã ngành: 7850103,Tên ngành: Quản lý đất đai,Tổ hợp môn:,NV1: 18.75
31,Mã ngành: 7850103,Tên ngành: Quản lí đất đai,Tổ hợp môn:,NV1: 18.75
32,,,,
33,,,,
