,0,1,2,3
0,Mã ngành: 7420201,Tên ngành: Công nghệ sinh học,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
1,Mã ngành: 7440301,Tên ngành: Khoa học môi trường,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
2,Mã ngành: 7510406,Tên ngành: Công nghệ kỹ thuật môi trường,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
3,Mã ngành: 7515406,Tên ngành: Bảo vệ thực vật,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
4,Mã ngành: 7540101,Tên ngành: Công nghệ thực phẩm*,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
5,Mã ngành: 7620102,Tên ngành: Khuyến nông,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
6,Mã ngành: 7620105,Tên ngành: Chăn nuôi,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
7,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
8,Mã ngành: 7620113,Tên ngành: Công nghệ rau hoa quả và cảnh quan,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
9,Mã ngành: 7620115,Tên ngành: Kinh tế nông nghiệp,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
10,Mã ngành: 7620116,Tên ngành: Phát triển nông thôn,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
11,Mã ngành: 7620201,Tên ngành: Lâm nghiệp,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
12,Mã ngành: 7620211,Tên ngành: Quản lí tài nguyên rừng,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
13,Mã ngành: 7620301,Tên ngành: Nuôi trồng thủy sản,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
14,Mã ngành: 7640101,Tên ngành: Thú y,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
15,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
16,Mã ngành: 7850102,Tên ngành: Kinh tế tài nguyên thiên nhiên,"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
17,Mã ngành: 7850103,Tên ngành: Quản lý đất đai: (Gồm các chuyên ngành: Quản lý đất đai; Địa chính - Môi trường),"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
18,Mã ngành: 7904429,Tên ngành: Khoa học và quản lý môi trường (CTTT),"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
19,Mã ngành: 7905419,Tên ngành: Công nghệ thực phẩm (CTTT),"Tổ hợp môn: A00,B00,C02,D01",NV1: 15.00
20,,,,
21,,,,
22,,,,
23,,,,
24,,,,
