,0,1,2,3
0,Mã ngành: 51120221,Tên ngành: Sư phạm âm nhạc,"Tổ hợp môn: N00, M00",NV1: 16.00
1,Mã ngành: 51140201,Tên ngành: Sư phạm mầm non,"Tổ hợp môn: M00, M07, M14",NV1: 16.00
2,Mã ngành: 51140202,Tên ngành: Giáo dục tiểu học,"Tổ hợp môn: A00, C00, C04, A01",NV1: 15.10
3,Mã ngành: 51140210,Tên ngành: Sư phạm tin học,"Tổ hợp môn: A00, A01, C01, A04",NV1: 16.00
4,Mã ngành: 51140222,Tên ngành: Sư phạm mỹ thuật,"Tổ hợp môn: H00, H07",NV1: 15.10
5,Mã ngành: 51140231,Tên ngành: Sư phạm tiếng Anh,"Tổ hợp môn: D01, A01, D15, C00",NV1: 15.10
6,Mã ngành: 7620105,Tên ngành: Chăn nuôi,"Tổ hợp môn: A00, B00, C02, D01",NV1: 13.00
7,Mã ngành: 7620110,Tên ngành: Khoa học cây trồng,"Tổ hợp môn: A00, B00, C02, D01",NV1: 13.00
8,Mã ngành: 7810103,Tên ngành: Quản trị dịch vụ du lịch và lữ hành,"Tổ hợp môn: C00, C03, C04, D01",NV1: 13.50
9,Mã ngành: 7850101,Tên ngành: Quản lý tài nguyên và môi trường,"Tổ hợp môn: A00, B00, C02, D01",NV1: 13.00
